country,code,forest_1990,forest_2025,forest_change,mean_gdp,region,income_group,log_gdp,peer_residual,outlier_category
Afghanistan,AFG,1.85,1.85,0.0,415.4949455842083,South Asia,Low income,6.029470449562568,,geographic_excluded
Albania,ALB,28.79,34.34,5.550000000000004,3520.932338263668,Europe & Central Asia,Upper middle income,8.166481102345495,5.550000000000004,expected_positive
Algeria,DZA,0.72,0.71,-0.01,3545.5985429966904,Middle East & North Africa,Upper middle income,8.173462266180033,,geographic_excluded
American Samoa,ASM,90.35,79.25,-11.099999999999994,11575.37566019524,East Asia & Pacific,High income,9.356635332872314,-12.309999999999993,rich_deforester
Andorra,AND,37.64,38.77,1.1300000000000026,34124.77009588919,Europe & Central Asia,High income,10.437778795347766,-0.07999999999999652,expected_positive
Angola,AGO,62.19,50.74,-11.449999999999996,2301.9532897982067,Sub-Saharan Africa,Lower middle income,7.741513297937041,-8.619999999999997,expected_negative
Antigua and Barbuda,ATG,22.98,17.7,-5.280000000000001,14242.239885303634,Latin America & Caribbean,High income,9.563967467912622,-6.49,expected_negative
Argentina,ARG,20.46,17.03,-3.43,9017.220575484442,Latin America & Caribbean,Upper middle income,9.106891425381532,-3.43,expected_negative
Armenia,ARM,11.76,11.74,-0.0199999999999995,2613.001013826185,Europe & Central Asia,Upper middle income,7.86825465351372,-0.0199999999999995,expected_negative
Aruba,ABW,2.72,2.72,0.0,23517.494199517365,Latin America & Caribbean,High income,10.0654998572007,-1.209999999999999,expected_positive
Australia,AUS,17.5,17.36,-0.1400000000000005,40512.67342040289,East Asia & Pacific,High income,10.609370128104704,-1.3499999999999996,expected_negative
Austria,AUT,45.75,47.31,1.5600000000000025,39482.83486678306,Europe & Central Asia,High income,10.583621296105902,0.3500000000000034,expected_positive
Azerbaijan,AZE,11.43,14.68,3.25,3383.9422425160096,Europe & Central Asia,Upper middle income,8.12679665276604,3.25,expected_positive
Bahrain,BHR,1.73,5.53,3.8,19405.71003733748,Middle East & North Africa,High income,9.873322633565826,,geographic_excluded
Bangladesh,BGD,15.25,14.39,-0.8599999999999994,970.6325753948358,South Asia,Lower middle income,6.87794799852912,1.9699999999999989,expected_negative
Barbados,BRB,14.65,14.65,0.0,15793.474448481538,Latin America & Caribbean,High income,9.66735212411333,-1.209999999999999,expected_positive
Belarus,BLR,38.33,44.22,5.890000000000001,4310.261292576996,Europe & Central Asia,Upper middle income,8.36875380598803,5.890000000000001,expected_positive
Belgium,BEL,22.21,21.99,-0.2200000000000024,37312.70818412629,Europe & Central Asia,High income,10.527089249593464,-1.4300000000000015,expected_negative
Belize,BLZ,69.26,57.65,-11.610000000000008,5231.646676781307,Latin America & Caribbean,Upper middle income,8.562481359660467,-11.610000000000008,expected_negative
Benin,BEN,61.9,27.79,-34.11,819.3018099885973,Sub-Saharan Africa,Lower middle income,6.708452526334389,-31.28,expected_negative
Bermuda,BMU,14.44,14.44,0.0,82137.9008174466,North America,High income,11.316154831029207,-1.209999999999999,expected_positive
Bhutan,BTN,65.72,70.13,4.409999999999997,1840.3187385824024,South Asia,Lower middle income,7.5176940630913185,7.239999999999995,poor_reforester
Bolivia,BOL,57.02,50.19,-6.830000000000005,2052.139966624646,Latin America & Caribbean,Lower middle income,7.626638413820539,-4.000000000000007,expected_negative
Bosnia and Herzegovina,BIH,43.16,42.23,-0.9299999999999996,3669.969416501449,Europe & Central Asia,Upper middle income,8.20793860763554,-0.9299999999999996,expected_negative
Botswana,BWA,27.75,27.76,0.0100000000000015,5220.709078622016,Sub-Saharan Africa,Upper middle income,8.560388510467906,0.0100000000000015,expected_positive
Brazil,BRA,73.99,58.16,-15.829999999999998,6915.845182242137,Latin America & Caribbean,Upper middle income,8.841570461104697,-15.829999999999998,expected_negative
Bulgaria,BGR,30.65,36.47,5.82,5959.728481704972,Europe & Central Asia,High income,8.692780202260744,4.610000000000001,expected_positive
Burkina Faso,BFA,30.33,11.83,-18.5,529.0799690178129,Sub-Saharan Africa,Low income,6.27113959059924,-14.120000000000001,expected_negative
Burundi,BDI,10.77,10.89,0.120000000000001,194.79189618328263,Sub-Saharan Africa,Low income,5.271931789641267,4.5,expected_positive
Cambodia,KHM,62.34,35.88,-26.46,1005.8089608511212,East Asia & Pacific,Lower middle income,6.913547432876068,-23.630000000000003,expected_negative
Cameroon,CMR,47.6,40.5,-7.100000000000001,1245.4998222955223,Sub-Saharan Africa,Lower middle income,7.1272921920250045,-4.270000000000003,expected_negative
Canada,CAN,41.05,41.97,0.9200000000000016,36996.58824321332,North America,High income,10.518580977731908,-0.2899999999999975,expected_positive
Cayman Islands,CYM,54.71,53.0,-1.7100000000000009,82972.18096995173,Latin America & Caribbean,High income,11.326260661560314,-2.92,expected_negative
Central African Republic,CAF,74.54,72.39,-2.1500000000000057,388.6691071093741,Sub-Saharan Africa,Low income,5.962728357234727,2.2299999999999933,expected_negative
Chad,TCD,5.34,2.87,-2.47,690.7563615643833,Sub-Saharan Africa,Low income,6.537787173409157,1.9099999999999988,expected_negative
Chile,CHL,22.61,24.43,1.8200000000000005,9679.102452706778,Latin America & Caribbean,High income,9.177724454143876,0.6100000000000014,expected_positive
China,CHN,16.74,24.2,7.460000000000001,4744.225623112354,East Asia & Pacific,Upper middle income,8.46468349922462,7.460000000000001,expected_positive
Colombia,COL,58.68,53.59,-5.089999999999996,4594.981419858527,Latin America & Caribbean,Upper middle income,8.432719991225252,-5.089999999999996,expected_negative
Comoros,COM,25.34,17.93,-7.41,1172.7808523201154,Sub-Saharan Africa,Lower middle income,7.067133004532631,-4.580000000000002,expected_negative
Costa Rica,CRI,54.03,58.55,4.519999999999996,7585.707172831048,Latin America & Caribbean,Upper middle income,8.934021120506054,4.519999999999996,expected_positive
Croatia,HRV,33.06,34.78,1.7199999999999989,10914.440966696484,Europe & Central Asia,High income,9.29784205069545,0.5099999999999998,expected_positive
Cuba,CUB,22.27,34.9,12.63,4715.376493575064,Latin America & Caribbean,Upper middle income,8.458584042054689,12.63,expected_positive
Cyprus,CYP,17.44,18.58,1.139999999999997,23332.10164620536,Europe & Central Asia,High income,10.057585444378926,-0.07000000000000206,expected_positive
Czechia,CZE,36.79,38.46,1.6700000000000017,15242.391369532968,Europe & Central Asia,High income,9.63183573094227,0.46000000000000263,expected_positive
Denmark,DNK,13.29,16.06,2.77,48611.14523447357,Europe & Central Asia,High income,10.791608109409657,1.560000000000001,expected_positive
Djibouti,DJI,0.24,0.26,0.02,1530.7868088605503,Middle East & North Africa,Lower middle income,7.333537136360349,,geographic_excluded
Dominica,DMA,78.44,76.47,-1.9699999999999989,6490.748678640926,Latin America & Caribbean,Upper middle income,8.778133161849277,-1.9699999999999989,expected_negative
Dominican Republic,DOM,44.24,46.84,2.6000000000000014,4870.810433520847,Latin America & Caribbean,Upper middle income,8.491015615685425,2.6000000000000014,expected_positive
Ecuador,ECU,58.92,49.57,-9.35,3913.2328352808186,Latin America & Caribbean,Upper middle income,8.272119123450866,-9.35,expected_negative
El Salvador,SLV,35.5,33.05,-2.450000000000003,2874.5199850280446,Latin America & Caribbean,Upper middle income,7.963640977562414,-2.450000000000003,expected_negative
Equatorial Guinea,GNQ,96.23,85.8,-10.430000000000009,6672.049668259525,Sub-Saharan Africa,Upper middle income,8.805682388294375,-10.430000000000009,expected_negative
Eritrea,ERI,13.64,11.91,-1.7300000000000004,390.075456746517,Sub-Saharan Africa,Low income,5.966340199246299,2.6499999999999986,expected_negative
Estonia,EST,51.62,57.26,5.640000000000001,14474.139315187216,Europe & Central Asia,High income,9.58011884058268,4.4300000000000015,expected_positive
Eswatini,SWZ,28.23,25.18,-3.0500000000000007,2754.0740364933927,Sub-Saharan Africa,Lower middle income,7.920836562185564,-0.22000000000000242,expected_negative
Ethiopia,ETH,25.29,23.7,-1.59,403.1764551864945,Sub-Saharan Africa,Low income,5.999374320177346,2.789999999999999,expected_negative
Faroe Islands,FRO,0.06,0.06,0.0,42245.63525034731,Europe & Central Asia,High income,10.651256319764626,,geographic_excluded
Fiji,FJI,51.43,62.21,10.78,3664.982360288824,East Asia & Pacific,Upper middle income,8.206578801291114,10.78,expected_positive
Finland,FIN,71.97,74.17,2.200000000000003,38663.30890919823,Europe & Central Asia,High income,10.562646339094488,0.9900000000000038,expected_positive
France,FRA,26.36,32.5,6.140000000000001,34041.32883538108,Europe & Central Asia,High income,10.435330619392497,4.9300000000000015,expected_positive
French Polynesia,PYF,41.61,43.06,1.4500000000000028,19916.51721935261,East Asia & Pacific,High income,9.899304677466665,0.24000000000000377,expected_positive
Gabon,GAB,92.27,91.42,-0.8499999999999943,6502.435745171399,Sub-Saharan Africa,Upper middle income,8.779932115716337,-0.8499999999999943,expected_negative
Georgia,GEO,43.61,44.62,1.009999999999998,2937.012610092142,Europe & Central Asia,Upper middle income,7.985148224717541,1.009999999999998,expected_positive
Germany,DEU,32.34,32.86,0.519999999999996,37995.62363081975,Europe & Central Asia,High income,10.545226264466216,-0.690000000000003,expected_positive
Ghana,GHA,25.52,31.01,5.490000000000002,1151.3982847116768,Sub-Saharan Africa,Lower middle income,7.048732382499134,8.32,poor_reforester
Greece,GRC,28.77,36.95,8.180000000000003,18507.71220788974,Europe & Central Asia,High income,9.825942800299863,6.970000000000004,expected_positive
Greenland,GRL,0.0,0.0,0.0,35956.47140514761,Europe & Central Asia,High income,10.49006435821886,,geographic_excluded
Grenada,GRD,52.06,52.06,0.0,6585.003407916524,Latin America & Caribbean,Upper middle income,8.792550131704434,0.0,expected_positive
Guam,GUM,44.44,52.35,7.910000000000004,31427.982330473384,East Asia & Pacific,High income,10.355453932073122,6.700000000000005,expected_positive
Guatemala,GTM,45.28,32.99,-12.29,2800.6267237988905,Latin America & Caribbean,Upper middle income,7.937598501045289,-12.29,expected_negative
