country,code,forest_1990,forest_2025,forest_change,mean_gdp,region,income_group
Afghanistan,AFG,1.85,1.85,0.0,415.4949455842083,South Asia,Low income
Albania,ALB,28.79,34.34,5.550000000000004,3520.932338263668,Europe & Central Asia,Upper middle income
Algeria,DZA,0.72,0.71,-0.01,3545.5985429966904,Middle East & North Africa,Upper middle income
American Samoa,ASM,90.35,79.25,-11.099999999999994,11575.37566019524,East Asia & Pacific,High income
Andorra,AND,37.64,38.77,1.1300000000000026,34124.77009588919,Europe & Central Asia,High income
Angola,AGO,62.19,50.74,-11.449999999999996,2301.9532897982067,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,ATG,22.98,17.7,-5.280000000000001,14242.239885303634,Latin America & Caribbean,High income
Argentina,ARG,20.46,17.03,-3.43,9017.220575484442,Latin America & Caribbean,Upper middle income
Armenia,ARM,11.76,11.74,-0.0199999999999995,2613.0010138261855,Europe & Central Asia,Upper middle income
Aruba,ABW,2.72,2.72,0.0,23517.494199517365,Latin America & Caribbean,High income
Australia,AUS,17.5,17.36,-0.1400000000000005,40512.67342040289,East Asia & Pacific,High income
Austria,AUT,45.75,47.31,1.5600000000000025,39482.83486678306,Europe & Central Asia,High income
Azerbaijan,AZE,11.43,14.68,3.25,3383.9422425160096,Europe & Central Asia,Upper middle income
Bahrain,BHR,1.73,5.53,3.8,19405.71003733748,Middle East & North Africa,High income
Bangladesh,BGD,15.25,14.39,-0.8599999999999994,970.6325753948358,South Asia,Lower middle income
Barbados,BRB,14.65,14.65,0.0,15793.474448481538,Latin America & Caribbean,High income
Belarus,BLR,38.33,44.22,5.890000000000001,4310.261292576996,Europe & Central Asia,Upper middle income
Belgium,BEL,22.21,21.99,-0.2200000000000024,37312.708184126284,Europe & Central Asia,High income
Belize,BLZ,69.26,57.65,-11.610000000000008,5231.646676781307,Latin America & Caribbean,Upper middle income
Benin,BEN,61.9,27.79,-34.11,819.3018099885973,Sub-Saharan Africa,Lower middle income
Bermuda,BMU,14.44,14.44,0.0,82137.9008174466,North America,High income
Bhutan,BTN,65.72,70.13,4.409999999999997,1840.3187385824024,South Asia,Lower middle income
Bolivia,BOL,57.02,50.19,-6.830000000000005,2052.139966624646,Latin America & Caribbean,Lower middle income
Bosnia and Herzegovina,BIH,43.16,42.23,-0.9299999999999996,3669.969416501449,Europe & Central Asia,Upper middle income
Botswana,BWA,27.75,27.76,0.0100000000000015,5220.709078622016,Sub-Saharan Africa,Upper middle income
Brazil,BRA,73.99,58.16,-15.829999999999998,6915.845182242137,Latin America & Caribbean,Upper middle income
British Virgin Islands,VGB,66.67,66.47,-0.2000000000000028,,Latin America & Caribbean,High income
Bulgaria,BGR,30.65,36.47,5.82,5959.728481704972,Europe & Central Asia,High income
Burkina Faso,BFA,30.33,11.83,-18.5,529.0799690178129,Sub-Saharan Africa,Low income
Burundi,BDI,10.77,10.89,0.120000000000001,194.79189618328263,Sub-Saharan Africa,Low income
Cambodia,KHM,62.34,35.88,-26.46,1005.8089608511212,East Asia & Pacific,Lower middle income
Cameroon,CMR,47.6,40.5,-7.100000000000001,1245.4998222955223,Sub-Saharan Africa,Lower middle income
Canada,CAN,41.05,41.97,0.9200000000000016,36996.58824321332,North America,High income
Cayman Islands,CYM,54.71,53.0,-1.7100000000000009,82972.18096995173,Latin America & Caribbean,High income
Central African Republic,CAF,74.54,72.39,-2.1500000000000057,388.6691071093741,Sub-Saharan Africa,Low income
Chad,TCD,5.34,2.87,-2.47,690.7563615643833,Sub-Saharan Africa,Low income
Chile,CHL,22.61,24.43,1.8200000000000005,9679.102452706778,Latin America & Caribbean,High income
China,CHN,16.74,24.2,7.460000000000001,4744.225623112354,East Asia & Pacific,Upper middle income
Colombia,COL,58.68,53.59,-5.089999999999996,4594.981419858527,Latin America & Caribbean,Upper middle income
Comoros,COM,25.34,17.93,-7.41,1172.7808523201154,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,54.03,58.55,4.519999999999996,7585.707172831048,Latin America & Caribbean,Upper middle income
Croatia,HRV,33.06,34.78,1.7199999999999989,10914.440966696484,Europe & Central Asia,High income
Cuba,CUB,22.27,34.9,12.63,4715.376493575064,Latin America & Caribbean,Upper middle income
Cyprus,CYP,17.44,18.58,1.139999999999997,23332.101646205356,Europe & Central Asia,High income
Czechia,CZE,36.79,38.46,1.6700000000000017,15242.391369532967,Europe & Central Asia,High income
Denmark,DNK,13.29,16.06,2.77,48611.14523447357,Europe & Central Asia,High income
Djibouti,DJI,0.24,0.26,0.02,1530.7868088605503,Middle East & North Africa,Lower middle income
Dominica,DMA,78.44,76.47,-1.9699999999999989,6490.748678640926,Latin America & Caribbean,Upper middle income
Dominican Republic,DOM,44.24,46.84,2.6000000000000014,4870.810433520847,Latin America & Caribbean,Upper middle income
Ecuador,ECU,58.92,49.57,-9.35,3913.2328352808186,Latin America & Caribbean,Upper middle income
El Salvador,SLV,35.5,33.05,-2.450000000000003,2874.5199850280446,Latin America & Caribbean,Upper middle income
Equatorial Guinea,GNQ,96.23,85.8,-10.430000000000009,6672.049668259525,Sub-Saharan Africa,Upper middle income
Eritrea,ERI,13.64,11.91,-1.7300000000000004,390.07545674651703,Sub-Saharan Africa,Low income
Estonia,EST,51.62,57.26,5.640000000000001,14474.139315187216,Europe & Central Asia,High income
Eswatini,SWZ,28.23,25.18,-3.0500000000000007,2754.0740364933927,Sub-Saharan Africa,Lower middle income
Ethiopia,ETH,25.29,23.7,-1.59,403.1764551864945,Sub-Saharan Africa,Low income
Faroe Islands,FRO,0.06,0.06,0.0,42245.63525034731,Europe & Central Asia,High income
Fiji,FJI,51.43,62.21,10.78,3664.9823602888237,East Asia & Pacific,Upper middle income
Finland,FIN,71.97,74.17,2.200000000000003,38663.308909198226,Europe & Central Asia,High income
France,FRA,26.36,32.5,6.140000000000001,34041.32883538108,Europe & Central Asia,High income
French Polynesia,PYF,41.61,43.06,1.4500000000000028,19916.51721935261,East Asia & Pacific,High income
Gabon,GAB,92.27,91.42,-0.8499999999999943,6502.435745171399,Sub-Saharan Africa,Upper middle income
Georgia,GEO,43.61,44.62,1.009999999999998,2937.012610092142,Europe & Central Asia,Upper middle income
Germany,DEU,32.34,32.86,0.519999999999996,37995.62363081975,Europe & Central Asia,High income
Ghana,GHA,25.52,31.01,5.490000000000002,1151.3982847116768,Sub-Saharan Africa,Lower middle income
Greece,GRC,28.77,36.95,8.180000000000003,18507.71220788974,Europe & Central Asia,High income
Greenland,GRL,0.0,0.0,0.0,35956.47140514761,Europe & Central Asia,High income
Grenada,GRD,52.06,52.06,0.0,6585.003407916524,Latin America & Caribbean,Upper middle income
Guam,GUM,44.44,52.35,7.910000000000004,31427.982330473384,East Asia & Pacific,High income
Guatemala,GTM,45.28,32.99,-12.29,2800.6267237988905,Latin America & Caribbean,Upper middle income
Guinea,GIN,29.31,19.77,-9.54,771.2862134998155,Sub-Saharan Africa,Lower middle income
Guinea-Bissau,GNB,80.28,74.67,-5.609999999999999,627.8012860942139,Sub-Saharan Africa,Low income
Guyana,GUY,94.5,93.36,-1.1400000000000006,4831.53513567827,Latin America & Caribbean,High income
