country,code,forest_1990,forest_2025,forest_change,mean_gdp,region,income_group,log_gdp,outlier_category
Australia,AUS,17.5,17.36,-0.1400000000000005,40512.67342040289,East Asia & Pacific,High income,10.609370128104704,rich_deforester
Belgium,BEL,22.21,21.99,-0.2200000000000024,37312.70818412629,Europe & Central Asia,High income,10.527089249593464,rich_deforester
Cayman Islands,CYM,54.71,53.0,-1.7100000000000009,82972.18096995173,Latin America & Caribbean,High income,11.326260661560314,rich_deforester
Ghana,GHA,25.52,31.01,5.490000000000002,1151.3982847116768,Sub-Saharan Africa,Lower middle income,7.048732382499134,poor_reforester
India,IND,21.5,24.46,2.960000000000001,1114.969497147248,South Asia,Lower middle income,7.0165823267014025,poor_reforester
Japan,JPN,68.45,68.33,-0.1200000000000045,37670.55180504389,East Asia & Pacific,High income,10.536633948973911,rich_deforester
Nepal,NPL,40.1,43.71,3.61,591.6236959503227,South Asia,Lower middle income,6.382870784041135,poor_reforester
Norway,NOR,33.54,33.24,-0.2999999999999971,65035.73704743413,Europe & Central Asia,High income,11.082692198522484,rich_deforester
Rwanda,RWA,17.71,25.72,8.009999999999998,504.0674476910792,Sub-Saharan Africa,Low income,6.222710083901519,poor_reforester
Sweden,SWE,68.9,68.59,-0.3100000000000023,44188.04362796879,Europe & Central Asia,High income,10.696209525317848,rich_deforester
Uzbekistan,UZB,5.79,8.84,3.05,1385.4404740240027,Europe & Central Asia,Lower middle income,7.233773399846334,poor_reforester
Brunei,BRN,78.37,72.11,-6.260000000000005,29356.312431852235,East Asia & Pacific,High income,10.28726287647016,rich_deforester
Kyrgyzstan,KGZ,5.93,6.55,0.6200000000000001,864.572511628471,Europe & Central Asia,Lower middle income,6.76223517856188,poor_reforester
South Korea,KOR,67.12,64.34,-2.780000000000001,21725.38072235309,East Asia & Pacific,High income,9.986236474599282,rich_deforester
