Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"2","'004","Afghanistan","6970","Artificial surfaces (including urban and associated areas)","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,"102.770000","103.300000","105.410000","107.460000","108.340000",,,,
"2","'004","Afghanistan","6970","Artificial surfaces (including urban and associated areas)","5007","Area from MODIS","1000 ha",,,,,,,,,,"118.630000","118.670000","118.670000","118.670000","118.690000","118.740000","118.740000","118.760000","118.760000","118.820000","119.040000","119.210000","119.250000","119.320000","119.360000","119.470000","119.490000","119.510000","119.530000","119.660000","119.700000","119.870000","119.920000"
"2","'004","Afghanistan","6970","Artificial surfaces (including urban and associated areas)","5008","Area from CCI_LC","1000 ha","25.260000","25.690000","26.060000","26.620000","27.150000","27.820000","28.930000","29.660000","30.640000","33.000000","36.210000","38.150000","39.010000","40.670000","42.280000","43.830000","45.150000","46.250000","47.590000","48.830000","50.640000","54.170000","57.560000","60.450000","60.450000","68.580000","69.140000","73.060000","73.060000","74.920000","78.960000",
"2","'004","Afghanistan","6970","Artificial surfaces (including urban and associated areas)","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236.970000","191.900000",,
"2","'004","Afghanistan","6971","Herbaceous crops","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,"4167.090000","4182.860000","4208.080000","4327.330000","4392.250000",,,,
"2","'004","Afghanistan","6971","Herbaceous crops","5007","Area from MODIS","1000 ha",,,,,,,,,,"1300.560000","2083.080000","2728.910000","2438.190000","2297.100000","2072.860000","2126.400000","1642.410000","2195.880000","2340.840000","1838.660000","1799.020000","1879.470000","1787.230000","1901.490000","1932.900000","1780.100000","1347.510000","1538.570000","1496.390000","1257.870000","1179.140000","1172.380000"
"2","'004","Afghanistan","6971","Herbaceous crops","5008","Area from CCI_LC","1000 ha","5759.760000","5765.630000","5763.950000","5768.020000","5781.610000","5787.680000","5800.720000","5825.070000","5812.990000","5774.430000","5764.210000","5754.550000","5759.840000","5791.650000","5786.150000","5792.470000","5801.970000","5816.720000","5822.720000","5823.680000","5827.950000","5827.480000","5814.750000","5808.410000","5746.160000","5707.450000","5697.730000","5707.750000","5707.810000","5706.090000","5703.550000",
"2","'004","Afghanistan","6971","Herbaceous crops","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4493.400000","4293.530000",,
"2","'004","Afghanistan","6972","Woody crops","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","6972","Woody crops","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","6972","Woody crops","5008","Area from CCI_LC","1000 ha","87.380000","81.060000","82.310000","82.910000","83.170000","82.840000","83.010000","84.490000","83.980000","84.180000","84.080000","82.930000","82.540000","83.110000","86.120000","89.180000","90.820000","91.810000","92.650000","92.690000","92.770000","93.570000","104.010000","108.460000","134.570000","156.420000","157.900000","162.700000","161.850000","161.800000","161.730000",
"2","'004","Afghanistan","6972","Woody crops","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","6973","Multiple or layered crops","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","6973","Multiple or layered crops","5007","Area from MODIS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","6973","Multiple or layered crops","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","6983","Grassland","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,"22445.970000","22443.040000","22440.070000","22446.610000","22452.400000",,,,
"2","'004","Afghanistan","6983","Grassland","5007","Area from MODIS","1000 ha",,,,,,,,,,"19517.760000","21698.670000","22679.110000","23290.000000","24112.380000","24473.830000","25093.440000","25299.530000","25603.740000","25686.280000","25756.130000","25399.520000","25390.700000","25293.300000","25135.940000","25001.520000","24781.030000","23904.100000","24321.350000","24548.040000","23982.590000","23715.760000","23910.880000"
"2","'004","Afghanistan","6983","Grassland","5008","Area from CCI_LC","1000 ha","24019.620000","24019.590000","24019.590000","24030.520000","24029.540000","24038.290000","24040.360000","24177.120000","24237.450000","24291.530000","24372.710000","24446.580000","24572.420000","24603.990000","24618.020000","24701.590000","24739.540000","24756.390000","24754.510000","24782.270000","24782.650000","24780.940000","24744.970000","24744.720000","24753.100000","24732.200000","24649.730000","24662.140000","24665.490000","24640.010000","24452.450000",
"2","'004","Afghanistan","6983","Grassland","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14004.790000","14981.990000",,
"2","'004","Afghanistan","6974","Tree-covered areas","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,"938.500000","937.960000","937.500000","937.270000","937.160000",,,,
"2","'004","Afghanistan","6974","Tree-covered areas","5007","Area from MODIS","1000 ha",,,,,,,,,,"513.820000","558.010000","525.620000","496.840000","480.210000","485.140000","482.990000","503.490000","522.030000","540.610000","537.570000","536.240000","524.910000","515.500000","514.580000","524.110000","520.910000","530.940000","534.030000","569.420000","575.880000","566.350000","590.200000"
"2","'004","Afghanistan","6974","Tree-covered areas","5008","Area from CCI_LC","1000 ha","1265.140000","1265.230000","1265.300000","1242.660000","1242.340000","1241.720000","1241.590000","1242.560000","1228.810000","1198.290000","1185.810000","1174.120000","1167.520000","1166.020000","1163.010000","1161.630000","1161.420000","1163.660000","1162.960000","1162.960000","1162.580000","1163.550000","1166.260000","1166.800000","1168.150000","1170.720000","1172.060000","1182.570000","1184.360000","1190.800000","1195.580000",
"2","'004","Afghanistan","6974","Tree-covered areas","5013","Area from WorldCover","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"637.990000","713.150000",,
"2","'004","Afghanistan","6975","Mangroves","5006","Area from CGLS","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2","'004","Afghanistan","6975","Mangroves","5007","Area from MODIS","1000 ha",,,,,,,,,,"0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"2","'004","Afghanistan","6975","Mangroves","5008","Area from CCI_LC","1000 ha","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",
