"","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Production (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Protection of soil and water (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Conservation of biodiversity (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Social Services (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Multiple use (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","Other (specify in comments) (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","No designation (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Unknown (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)","Total forest area (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Afghanistan","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","46.09","46.09","46.09","46.09","46.09","46.09","0.00","0.00","0.00","0.00","0.00","0.00","1163.35","1163.35","1163.35","1163.35","1163.35","1163.35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1209.44","1209.44","1209.44","1209.44","1209.44","1209.44"
"Albania","685.00","620.00","614.20","602.70","789.40","789.40","86.90","96.80","131.10","131.10","127.30","127.30","16.90","52.40","31.00","31.00","21.20","21.20","0.00","0.00","0.00","0.00","3.10","3.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.10","5.77","32.38","0.00","0.00","788.80","769.30","782.07","797.18","941.00","941.00"
"Algeria","638.00","633.70","631.00","629.65","623.74","622.39","956.99","950.55","946.50","944.48","935.60","933.59","117.17","121.17","121.17","121.17","131.05","131.05","2.80","2.80","2.80","2.80","4.34","4.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1714.96","1708.22","1701.47","1698.10","1694.73","1691.36"
"American Samoa","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.05","0.04","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00","0.00","3.07","3.07","2.52","2.52","2.52","2.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.94","14.61","13.63","13.31","13.31","13.31","18.07","17.73","16.19","15.85","15.85","15.85"
"Andorra","","","","0.50","0.54","0.54","","","","7.00","7.48","7.48","","","","6.70","6.75","6.75","","","","1.37","0.91","0.91","","","","","","","","","","","","","","","","","","","17.69","17.29","18.08","2.72","2.48","2.54","17.69","17.29","18.08","18.29","18.16","18.22"
"Angola","2924.40","2864.11","2652.16","2546.19","2440.22","2334.25","0.00","0.00","0.00","0.00","0.00","0.00","2336.80","2336.80","2336.80","7033.85","7033.85","7033.85","0.00","0.00","0.00","0.00","0.00","0.00","72272.09","70812.17","65923.82","58782.59","56338.41","53894.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","77533.29","76013.08","70912.78","68362.63","65812.48","63262.33"
"Anguilla","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.50","5.50","5.50","5.50","5.50","5.50","5.50","5.50","5.50","5.50","5.50","5.50"
"Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.11","9.45","8.78","8.45","8.12","7.79","10.11","9.45","8.78","8.45","8.12","7.79"
"Argentina","769.00","1080.00","1203.60","1710.54","1884.13","1930.68","","","","","","","1326.09","1396.46","1457.32","1553.08","1819.98","1821.17","","","","","","","","","369.77","1420.35","2532.69","2719.05","","","333.01","933.07","1722.39","1774.49","","","","","","","53894.53","50965.76","46363.75","42826.98","39536.40","38363.61","55989.62","53442.22","49727.45","48444.02","47495.59","46609.00"
"Armenia","0.00","0.00","0.00","0.00","0.00","0.00","205.70","205.00","133.00","145.00","150.00","180.00","0.00","0.00","0.00","0.00","0.00","0.00","71.60","70.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","57.40","57.20","130.40","140.00","152.00","154.10","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.04","68.89","49.20","32.02","0.00","334.73","332.64","332.29","334.20","334.02","334.10"
"Aruba","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.04","0.04","0.04","0.04","0.04","","","","","","","","","","","","","0.45","0.45","0.45","0.45","0.45","0.45","0.49","0.49","0.49","0.49","0.49","0.49"
"Ascension, Saint Helena and Tristan da Cunha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02","0.02","","","","","","","","","","","","","2.02","2.02","2.02","2.02","2.00","2.00","2.02","2.02","2.02","2.02","2.02","2.02"
"Australia","1022.90","1484.70","2008.90","1973.40","1774.67","1716.04","","","","","","","15091.35","17347.78","22806.04","21508.70","22001.97","22053.68","","","","","","","11485.45","9199.58","11058.03","9728.16","9948.77","9975.53","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","106974.95","104875.23","95298.17","99297.26","99565.72","99816.34","134574.65","132907.29","131171.14","132507.52","133291.13","133561.59"
