Country,Code,Forest_1990,Forest_2025,Forest_change,GDP_avg,Region,Income_group,log_GDP,Income_group_order,Outlier_type
Afghanistan,AFG,1.85,1.85,0.0,415.4949455842083,South Asia,Low income,6.0294704495625675,1,Expected pattern
Burkina Faso,BFA,30.33,11.83,-18.5,529.0799690178129,Sub-Saharan Africa,Low income,6.2711395905992395,1,Expected pattern
Burundi,BDI,10.77,10.89,0.120000000000001,194.79189618328263,Sub-Saharan Africa,Low income,5.271931789641267,1,Expected pattern
Central African Republic,CAF,74.54,72.39,-2.1500000000000057,388.6691071093741,Sub-Saharan Africa,Low income,5.9627283572347265,1,Expected pattern
Chad,TCD,5.34,2.87,-2.47,690.7563615643833,Sub-Saharan Africa,Low income,6.537787173409157,1,Expected pattern
Democratic Republic of Congo,COD,70.81,61.4,-9.410000000000004,335.08061334651467,Sub-Saharan Africa,Low income,5.81437113973193,1,Expected pattern
Eritrea,ERI,13.64,11.91,-1.7300000000000004,390.07545674651703,Sub-Saharan Africa,Low income,5.966340199246299,1,Expected pattern
Ethiopia,ETH,25.29,23.7,-1.59,403.1764551864945,Sub-Saharan Africa,Low income,5.999374320177346,1,Expected pattern
Gambia,GMB,40.98,20.7,-20.28,645.3239110736133,Sub-Saharan Africa,Low income,6.469752378452752,1,Expected pattern
Guinea-Bissau,GNB,80.28,74.67,-5.609999999999999,627.8012860942139,Sub-Saharan Africa,Low income,6.44222369297889,1,Expected pattern
Liberia,LBR,83.15,65.68,-17.47,419.9930190941393,Sub-Saharan Africa,Low income,6.04023808993485,1,Expected pattern
Madagascar,MDG,23.51,17.05,-6.460000000000001,393.86274563197804,Sub-Saharan Africa,Low income,5.97600248726587,1,Expected pattern
Malawi,MWI,37.14,21.55,-15.59,441.95302814148977,Sub-Saharan Africa,Low income,6.091203605257417,1,Expected pattern
Mali,MLI,11.47,8.59,-2.880000000000001,656.4774103891854,Sub-Saharan Africa,Low income,6.486888283994993,1,Expected pattern
Mozambique,MOZ,52.89,41.0,-11.89,443.9559043033684,Sub-Saharan Africa,Low income,6.095725242868147,1,Expected pattern
Niger,NER,1.54,0.83,-0.7100000000000001,414.51664637903764,Sub-Saharan Africa,Low income,6.027113133911384,1,Expected pattern
Rwanda,RWA,17.71,25.72,8.009999999999998,504.0674476910792,Sub-Saharan Africa,Low income,6.222710083901519,1,Poor & Reforesting
Sierra Leone,SLE,43.32,33.75,-9.57,561.6440036032269,Sub-Saharan Africa,Low income,6.330868203636437,1,Expected pattern
Somalia,SOM,13.2,7.7,-5.499999999999999,366.407161967126,Sub-Saharan Africa,Low income,5.903745179462447,1,Expected pattern
South Sudan,SSD,11.24,11.33,0.0899999999999998,1375.87731816094,Sub-Saharan Africa,Low income,7.22684685620518,1,Expected pattern
Sudan,SDN,15.03,11.77,-3.26,840.0392355782647,Sub-Saharan Africa,Low income,6.733448599768271,1,Expected pattern
Syria,SYR,2.44,2.85,0.4100000000000001,1269.9246549776192,Middle East & North Africa,Low income,7.146712850903457,1,Expected pattern
Togo,TGO,23.87,22.51,-1.3599999999999994,658.2189797213525,Sub-Saharan Africa,Low income,6.489537671890142,1,Expected pattern
Uganda,UGA,22.68,11.81,-10.87,540.2719126227385,Sub-Saharan Africa,Low income,6.292072554717603,1,Expected pattern
Yemen,YEM,1.04,1.04,0.0,891.2537980730376,Middle East & North Africa,Low income,6.79262923323195,1,Expected pattern
