"","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Forest (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)","Total land area (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Afghanistan","1209.44","1209.44","1209.44","1209.44","1209.44","1209.44","65223.00","65223.00","65223.00","65223.00","65223.00","65223.00"
"Albania","788.80","769.30","782.07","797.18","941.00","941.00","2740.00","2740.00","2740.00","2740.00","2740.00","2740.00"
"Algeria","1714.96","1708.22","1701.47","1698.10","1694.73","1691.36","238174.00","238174.00","238174.00","238174.10","238174.10","238174.10"
"American Samoa","18.07","17.73","16.19","15.85","15.85","15.85","20.00","20.00","20.00","20.00","20.00","20.00"
"Andorra","17.69","17.29","18.08","18.29","18.16","18.22","47.00","47.00","47.00","47.00","47.00","47.00"
"Angola","77533.29","76013.08","70912.78","68362.63","65812.48","63262.33","124670.00","124670.00","124670.00","124670.00","124670.00","124670.00"
"Anguilla","5.50","5.50","5.50","5.50","5.50","5.50","9.00","9.00","9.00","9.00","9.00","9.00"
"Antigua and Barbuda","10.11","9.45","8.78","8.45","8.12","7.79","44.00","44.00","44.00","44.00","44.00","44.00"
"Argentina","55989.62","53442.22","49727.45","48444.02","47495.59","46609.00","273669.00","273669.00","273669.00","273669.00","273669.00","273669.00"
"Armenia","334.73","332.64","332.29","334.20","334.02","334.10","2847.00","2847.00","2847.00","2847.00","2847.00","2819.94"
"Aruba","0.49","0.49","0.49","0.49","0.49","0.49","18.00","18.00","18.00","18.00","18.00","18.00"
"Ascension, Saint Helena and Tristan da Cunha","2.02","2.02","2.02","2.02","2.02","2.02","39.00","39.00","39.00","39.00","39.00","39.00"
"Australia","134574.65","132907.29","131171.14","132507.52","133291.13","133561.59","768230.00","768230.00","768230.00","768230.00","769202.00","769202.00"
"Austria","3775.67","3838.14","3861.64","3875.73","3889.82","3903.91","8252.00","8252.00","8252.00","8252.00","8252.00","8252.00"
"Azerbaijan","944.74","987.22","1032.49","1077.89","1161.19","1213.66","8321.70","8260.50","8265.60","8266.30","8264.60","8265.00"
"Bahamas","509.86","509.86","509.86","509.86","509.86","509.86","1001.00","1001.00","1001.00","1001.00","1001.00","1001.00"
"Bahrain","1.37","1.37","1.37","1.37","1.97","4.37","69.00","71.00","76.20","77.80","78.50","80.00"
"Bangladesh","1985.31","1920.33","1888.24","1883.30","1878.36","1873.42","13017.00","13017.00","13017.00","13017.00","13017.00","12998.00"
"Barbados","6.30","6.30","6.30","6.30","6.30","6.30","43.00","43.00","43.00","43.00","43.00","43.00"
"Belarus","7780.00","8273.00","8630.00","8633.50","8843.05","8975.40","20292.80","20284.80","20290.20","20297.80","20298.00","20298.30"
"Belgium","677.40","667.30","689.87","689.30","670.52","670.52","3028.00","3028.00","3028.00","3028.00","3028.00","3049.40"
"Belize","1579.83","1503.93","1428.03","1390.37","1352.71","1315.05","2281.00","2281.00","2281.00","2281.00","2281.00","2281.00"
"Benin","6980.12","5674.27","4264.22","3507.09","3320.18","3133.27","11276.00","11276.00","11276.00","11276.00","11276.00","11276.00"
"Bermuda","0.78","0.78","0.78","0.78","0.78","0.78","5.40","5.40","5.40","5.40","5.40","5.40"
"Bhutan","2506.72","2606.00","2705.29","2715.18","2717.16","2674.74","4672.30","3980.00","3811.70","3811.70","3814.00","3814.00"
"Bolivia (Plurinational State of)","61774.24","59085.97","57499.75","56687.18","55569.07","54370.27","108330.00","108330.00","108330.00","108330.00","108330.00","108330.00"
"Bonaire, Sint Eustatius and Saba","4.21","4.21","4.21","4.21","4.21","4.21","32.20","32.20","32.20","32.20","32.20","32.20"
"Bosnia and Herzegovina","2210.00","2111.65","2102.66","2160.50","2156.88","2162.08","5120.00","5120.00","5120.00","5120.00","5120.00","5120.00"
"Botswana","15727.90","15727.90","15727.90","15727.90","15730.20","15730.20","56673.00","56673.00","56673.00","56673.00","56673.00","56673.00"
"Brazil","618443.26","560720.37","525087.44","515508.93","502366.88","486086.64","835814.00","835814.00","835814.00","835814.00","835814.00","835814.00"
"British Virgin Islands","10.00","9.99","9.98","9.97","9.97","9.97","15.00","15.00","15.00","15.00","15.00","15.00"
"Brunei Darussalam","413.00","397.00","380.00","380.00","380.00","380.00","527.00","527.00","527.00","527.00","527.00","527.00"
"Bulgaria","3327.00","3375.00","3737.00","3833.00","3896.00","3959.00","11063.00","11063.00","10856.00","10856.00","10856.00","10856.00"
"Burkina Faso","8299.11","6377.97","5034.87","4435.57","3836.27","3236.97","27360.00","27360.00","27360.00","27360.00","27360.00","27360.00"
"Burundi","276.48","193.94","193.94","279.64","279.64","279.64","2568.00","2568.00","2568.00","2568.00","2568.00","2568.00"
"Cabo Verde","33.50","37.90","42.30","44.86","47.96","51.06","403.00","403.00","403.00","403.00","403.00","403.00"
"Cambodia","11004.79","10781.00","10589.23","8846.82","7876.84","6333.17","17652.00","17652.00","17652.00","17652.00","17652.00","17652.00"
"Cameroon","22500.00","21597.49","20900.48","20620.48","19728.00","19143.22","47271.00","47271.00","47271.00","47271.00","47271.00","47271.00"
"Canada","360777.29","360305.02","365431.10","367994.14","368867.93","368818.85","896559.00","896559.00","896559.00","896559.00","896559.00","878870.00"
"Cayman Islands","13.13","12.93","12.72","12.72","12.72","12.72","24.00","24.00","24.00","24.00","24.00","24.00"
"Central African Republic","46434.91","46084.99","45735.07","45560.11","45327.49","45094.87","62298.00","62298.00","62298.00","62298.00","62298.00","62298.00"
"Colombia","65102.80","62570.34","61431.74","60963.76","60123.28","59456.86","110950.00","110950.00","110950.00","110950.00","110950.00","110950.00"
"Comoros","47.16","42.78","37.30","34.56","32.87","33.37","186.10","186.10","186.10","186.10","186.10","186.10"
"Congo","22255.00","22135.00","22015.00","21913.30","21783.80","21853.80","34150.00","34150.00","34150.00","34150.00","34150.00","34150.00"
"Cook Islands","14.91","15.57","15.59","15.59","15.59","15.59","24.00","24.00","24.00","24.00","24.00","24.00"
"Costa Rica","2758.74","2849.05","2880.75","2954.46","2972.05","2989.64","5106.00","5106.00","5106.00","5106.00","5106.00","5106.00"
"Côte d'Ivoire","8297.10","6162.62","4997.81","4448.52","4178.24","3774.13","31800.00","31800.00","31800.00","31800.00","31800.00","31800.00"
"Croatia","1850.00","1885.00","1920.00","1922.00","1939.60","1946.20","5591.00","5591.20","5596.40","5596.40","5596.00","5596.00"
"Cuba","2312.00","2699.00","3209.35","3519.00","3611.43","3622.38","10740.00","10740.00","10644.00","10410.00","10380.00","10380.00"
"Curaçao","0.07","0.07","0.07","0.07","0.07","0.07","44.40","44.40","44.40","44.40","44.40","44.40"
"Cyprus","161.11","171.61","172.84","172.71","172.54","171.70","924.00","924.00","924.00","924.00","924.00","924.00"
"Czechia","2839.48","2865.28","2880.01","2892.91","2923.16","2968.36","7727.00","7727.00","7723.00","7721.00","7719.85","7716.73"
"Democratic People's Republic of Korea","7455.43","7455.43","7557.61","7614.38","7671.15","7727.93","12041.00","12041.00","12041.00","12041.00","12041.00","12041.00"
"Democratic Republic of the Congo","160540.18","153790.31","147040.44","142017.96","140603.51","139189.05","226705.00","226705.00","226705.00","226705.00","226705.00","226705.00"
"Denmark","531.44","571.60","586.34","624.26","632.71","642.56","4000.00","4000.00","4000.00","4000.00","4000.00","4000.00"
"Djibouti","5.60","5.60","5.60","5.65","5.88","5.93","2318.00","2318.00","2318.00","2318.00","2318.00","2318.00"
"Dominica","58.83","58.55","58.36","57.80","57.57","57.35","75.00","75.00","75.00","75.00","75.00","75.00"
"Dominican Republic","2132.15","2165.80","2186.28","2214.83","2224.35","2257.46","4831.00","4831.00","4831.00","4831.00","4831.00","4819.80"
"Ecuador","14632.21","13730.50","13028.37","12819.20","12461.09","12310.32","24836.00","24836.00","24836.00","24836.00","24836.00","24836.00"
"Egypt","3.91","3.91","4.08","4.08","4.08","4.11","99545.00","99545.00","99545.00","99545.00","99545.00","99545.00"
"El Salvador","735.51","705.81","676.11","676.49","680.66","684.84","2072.00","2072.00","2072.00","2072.00","2072.00","2072.00"
"Equatorial Guinea","2699.15","2615.58","2532.58","2490.22","2448.42","2406.62","2805.00","2805.00","2805.00","2805.00","2805.00","2805.00"
"Eritrea","1651.31","1591.51","1531.72","1501.82","1471.92","1442.02","12098.26","12098.26","12106.51","12108.88","12104.08","12117.82"
"Estonia","2205.90","2238.89","2336.02","2421.42","2443.87","2466.23","4239.00","4239.00","4239.00","4347.00","4275.00","4275.00"
"Eswatini","485.57","470.57","455.57","448.07","440.57","433.07","1720.00","1720.00","1720.00","1720.00","1720.00","1720.00"
"Ethiopia","28537.50","27809.40","27081.40","26786.20","26766.70","26747.10","112859.73","112859.73","112857.10","112853.94","112857.13","112849.88"
"Falkland Islands (Malvinas)","0.00","0.00","0.00","0.00","0.00","0.00","1217.00","1217.00","1217.00","1217.00","1217.00","1217.00"
"Faroe Islands","0.08","0.08","0.08","0.08","0.08","0.08","139.60","139.60","139.60","139.60","136.60","137.00"
"Fiji","939.69","1006.47","1067.11","1090.28","1113.44","1136.60","1827.00","1827.00","1827.00","1827.00","1827.00","1827.00"
"Finland","21875.33","22445.64","22242.00","22409.00","22543.00","22565.70","30459.00","30459.00","30390.00","30391.00","30394.00","30394.00"
"France","14436.00","15288.00","16419.00","16836.00","17348.00","17795.00","54756.60","54756.70","54755.70","54755.70","54755.70","53895.00"
"French Guiana","8125.00","8079.44","8036.50","8020.00","8002.85","7981.95","8303.00","8271.00","8277.00","8281.00","8281.00","8281.00"
"French Polynesia","144.43","148.55","149.46","149.46","149.46","149.46","366.00","347.10","347.10","347.10","347.10","347.10"
"Gabon","23774.23","23701.62","23683.26","23622.63","23588.97","23555.31","25767.00","25767.00","25767.00","25767.00","25767.00","25767.00"
"Gambia","414.73","357.87","300.00","271.07","242.14","209.47","1012.00","1012.00","1012.00","1012.00","1012.00","1012.00"
"Georgia","3030.40","3038.70","3100.50","3100.50","3100.50","3100.50","6949.00","6949.00","6949.00","6949.00","6949.00","6949.00"
"Germany","11300.00","11354.00","11409.00","11433.40","11457.40","11481.40","34913.00","34895.00","34857.00","34886.00","34939.00","34943.00"
"Ghana","5806.16","6163.36","6520.56","6699.16","6877.76","7056.36","22754.00","22754.00","22754.00","22754.00","22753.30","22753.30"
"Gibraltar","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","1.00","1.00","1.00","1.00"
"Greece","3708.90","3708.90","3720.80","4098.00","4762.80","4762.80","12890.00","12890.00","12890.00","12890.00","12890.00","12890.00"
"Greenland","0.22","0.22","0.22","0.22","0.22","0.22","41045.00","41045.00","41045.00","41045.00","41045.00","41045.00"
"Grenada","17.70","17.70","17.70","17.70","17.70","17.70","34.00","34.00","34.00","34.00","34.00","34.00"
"Guadeloupe","73.17","72.27","71.55","72.90","74.25","75.60","169.00","169.00","169.00","162.00","162.00","162.00"
"Guam","24.00","24.00","24.00","28.27","28.27","28.27","54.00","54.00","54.00","54.00","54.00","54.00"
"Guatemala","4852.41","4226.66","3755.85","3671.23","3601.60","3535.65","10716.00","10716.00","10716.00","10716.00","10716.00","10716.00"
"Guernsey","0.22","0.22","0.37","0.42","0.47","0.47","7.80","7.80","7.80","7.80","7.80","7.80"
"Guinea","7202.21","6532.24","5862.27","5527.28","5192.30","4857.31","24572.00","24572.00","24572.00","24572.00","24572.00","24572.00"
"Guinea-Bissau","2257.39","2207.12","2163.16","2141.97","2120.78","2099.59","2812.00","2812.00","2812.00","2812.00","2812.00","2812.00"
"Guyana","18602.15","18564.22","18519.81","18461.36","18415.34","18377.19","19685.00","19685.00","19685.00","19685.00","19685.00","21114.00"
"Haiti","369.20","384.20","380.20","364.30","365.10","372.10","2756.00","2756.00","2756.00","2756.00","2756.00","2756.00"
"Holy See","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.04","0.04","0.04","0.04","0.04"
"Honduras","7644.21","7129.47","6744.69","6527.00","6112.43","5861.33","11189.00","11189.00","11189.00","11189.00","11189.00","11189.00"
"Hungary","1813.90","1921.17","2046.39","2060.82","2057.00","2087.37","8987.00","8962.00","9053.00","9126.00","9126.00","9126.00"
"Chad","6730.08","6352.74","5530.04","4890.46","4250.89","3611.32","125920.00","125920.00","125920.00","125920.00","125920.00","125920.00"
"Chile","16810.95","17424.59","18038.22","18217.09","18186.32","18161.90","74353.20","74353.20","74353.20","74353.20","74353.20","74283.16"
"China","157140.59","177000.55","200610.38","210294.25","219098.00","227153.00","942467.00","942470.00","942470.07","942470.14","942470.29","942470.30"
"Iceland","17.93","32.22","48.74","53.23","56.66","61.48","10025.00","10025.00","10025.00","10025.00","10083.00","10083.00"
"India","63938.00","67591.00","69496.00","70828.00","72309.00","72739.00","297319.00","297319.00","297319.00","297319.00","297319.00","297319.00"
"Indonesia","116334.50","91958.60","96305.20","95027.90","95561.90","95969.30","187751.90","187751.90","187751.90","187751.90","187751.90","189255.55"
"Iran (Islamic Republic of)","10751.00","10751.00","10751.00","10751.00","10751.00","10751.00","162876.00","162876.00","162876.00","162876.00","162250.00","162250.00"
"Iraq","803.50","817.62","804.30","758.61","725.57","692.55","43737.00","43737.00","43432.00","43412.80","43412.80","43413.00"
"Ireland","461.64","630.36","720.38","754.67","793.32","832.85","6889.00","6889.00","6889.00","6889.00","6889.00","6889.00"
"Isle of Man","3.63","3.63","3.63","3.63","3.67","3.67","57.00","57.00","57.00","57.00","57.00","57.00"
"Israel","132.00","153.00","154.00","165.00","140.00","150.00","2164.00","2164.00","2164.00","2164.00","2164.00","2164.00"
"Italy","7589.75","8369.25","9028.04","8907.00","9359.51","9421.96","29411.00","29571.80","29571.80","29571.80","29571.70","29572.00"
"Jamaica","521.30","523.29","552.54","582.11","634.10","686.09","1083.00","1083.00","1083.00","1083.00","1083.00","1083.00"
"Japan","24950.00","24876.00","24966.00","24944.00","24919.00","24908.00","36460.00","36450.00","36450.00","36450.00","36450.00","36456.93"
"Jersey","0.60","0.60","0.60","0.60","0.67","0.68","12.00","12.00","12.00","12.00","12.00","12.00"
"Jordan","70.70","70.70","70.70","70.70","70.70","70.70","8824.00","8824.00","8878.00","8878.00","8879.40","8879.40"
"Kazakhstan","3162.24","3156.93","3082.18","3308.46","3451.01","3520.51","269970.00","269970.00","269970.00","269970.00","269970.00","269970.00"
"Kenya","3740.60","3816.21","3878.47","3383.88","3591.46","3913.81","56914.00","56914.00","56914.00","56914.00","56914.00","58087.63"
"Kiribati","1.07","1.07","1.07","1.07","1.07","1.07","81.00","81.00","81.00","81.00","81.00","81.00"
