Country,Code,Forest_1990,Forest_2025,Forest_change
Afghanistan,AFG,1.85,1.85,0.0
Albania,ALB,28.79,34.34,5.550000000000004
Algeria,DZA,0.72,0.71,-0.010000000000000009
American Samoa,ASM,90.35,79.25,-11.099999999999994
Andorra,AND,37.64,38.77,1.1300000000000026
Angola,AGO,62.19,50.74,-11.449999999999996
Antigua and Barbuda,ATG,22.98,17.7,-5.280000000000001
Argentina,ARG,20.46,17.03,-3.4299999999999997
Armenia,ARM,11.76,11.74,-0.019999999999999574
Aruba,ABW,2.72,2.72,0.0
Australia,AUS,17.5,17.36,-0.14000000000000057
Austria,AUT,45.75,47.31,1.5600000000000023
Azerbaijan,AZE,11.43,14.68,3.25
Bahrain,BHR,1.73,5.53,3.8000000000000003
Bangladesh,BGD,15.25,14.39,-0.8599999999999994
Barbados,BRB,14.65,14.65,0.0
Belarus,BLR,38.33,44.22,5.890000000000001
Belgium,BEL,22.21,21.99,-0.22000000000000242
Belize,BLZ,69.26,57.65,-11.610000000000007
Benin,BEN,61.9,27.79,-34.11
Bermuda,BMU,14.44,14.44,0.0
Bhutan,BTN,65.72,70.13,4.409999999999997
Bolivia,BOL,57.02,50.19,-6.830000000000005
Bosnia and Herzegovina,BIH,43.16,42.23,-0.9299999999999997
Botswana,BWA,27.75,27.76,0.010000000000001563
Brazil,BRA,73.99,58.16,-15.829999999999998
British Virgin Islands,VGB,66.67,66.47,-0.20000000000000284
Bulgaria,BGR,30.65,36.47,5.82
Burkina Faso,BFA,30.33,11.83,-18.5
Burundi,BDI,10.77,10.89,0.120000000000001
Cambodia,KHM,62.34,35.88,-26.46
Cameroon,CMR,47.6,40.5,-7.100000000000001
Canada,CAN,41.05,41.97,0.9200000000000017
Cayman Islands,CYM,54.71,53.0,-1.7100000000000009
Central African Republic,CAF,74.54,72.39,-2.1500000000000057
Chad,TCD,5.34,2.87,-2.4699999999999998
Chile,CHL,22.61,24.43,1.8200000000000003
China,CHN,16.74,24.2,7.460000000000001
Colombia,COL,58.68,53.59,-5.089999999999996
Comoros,COM,25.34,17.93,-7.41
Costa Rica,CRI,54.03,58.55,4.519999999999996
Croatia,HRV,33.06,34.78,1.7199999999999989
Cuba,CUB,22.27,34.9,12.629999999999999
Cyprus,CYP,17.44,18.58,1.139999999999997
Czechia,CZE,36.79,38.46,1.6700000000000017
Denmark,DNK,13.29,16.06,2.7699999999999996
Djibouti,DJI,0.24,0.26,0.020000000000000018
Dominica,DMA,78.44,76.47,-1.9699999999999989
Dominican Republic,DOM,44.24,46.84,2.6000000000000014
Ecuador,ECU,58.92,49.57,-9.350000000000001
El Salvador,SLV,35.5,33.05,-2.450000000000003
Equatorial Guinea,GNQ,96.23,85.8,-10.430000000000007
Eritrea,ERI,13.64,11.91,-1.7300000000000004
Estonia,EST,51.62,57.26,5.640000000000001
Eswatini,SWZ,28.23,25.18,-3.0500000000000007
Ethiopia,ETH,25.29,23.7,-1.5899999999999999
Faroe Islands,FRO,0.06,0.06,0.0
Fiji,FJI,51.43,62.21,10.780000000000001
Finland,FIN,71.97,74.17,2.200000000000003
France,FRA,26.36,32.5,6.140000000000001
French Polynesia,PYF,41.61,43.06,1.4500000000000028
Gabon,GAB,92.27,91.42,-0.8499999999999943
Georgia,GEO,43.61,44.62,1.009999999999998
Germany,DEU,32.34,32.86,0.519999999999996
Ghana,GHA,25.52,31.01,5.490000000000002
Greece,GRC,28.77,36.95,8.180000000000003
Greenland,GRL,0.0,0.0,0.0
Grenada,GRD,52.06,52.06,0.0
Guam,GUM,44.44,52.35,7.910000000000004
Guatemala,GTM,45.28,32.99,-12.29
Guinea,GIN,29.31,19.77,-9.54
Guinea-Bissau,GNB,80.28,74.67,-5.609999999999999
Guyana,GUY,94.5,93.36,-1.1400000000000006
Haiti,HTI,13.4,13.5,0.09999999999999964
Honduras,HND,68.32,52.38,-15.93999999999999
Hungary,HUN,19.88,22.87,2.990000000000002
Iceland,ISL,0.18,0.61,0.43
India,IND,21.5,24.46,2.960000000000001
Indonesia,IDN,61.47,50.71,-10.759999999999998
Iraq,IRQ,1.85,1.6,-0.25
Ireland,IRL,6.7,12.09,5.39
Isle of Man,IMN,6.37,6.44,0.07000000000000028
Italy,ITA,25.67,31.86,6.189999999999998
Jamaica,JAM,48.13,56.91,8.779999999999994
Japan,JPN,68.45,68.33,-0.12000000000000455
Jordan,JOR,0.8,0.8,0.0
Kazakhstan,KAZ,1.17,1.3,0.13000000000000012
Kenya,KEN,6.57,6.88,0.3099999999999996
Kiribati,KIR,1.32,1.32,0.0
Kuwait,KWT,0.19,0.35,0.15999999999999998
Latvia,LVA,50.99,55.71,4.719999999999999
Lebanon,LBN,13.48,13.81,0.33000000000000007
Lesotho,LSO,1.14,1.14,0.0
Liberia,LBR,83.15,65.68,-17.47
Libya,LBY,0.12,0.12,0.0
Liechtenstein,LIE,32.5,37.38,4.880000000000003
Lithuania,LTU,31.07,35.4,4.329999999999998
Luxembourg,LUX,33.33,34.45,1.1200000000000045
Madagascar,MDG,23.51,17.05,-6.460000000000001
Malawi,MWI,37.14,21.55,-15.59
Malaysia,MYS,62.76,57.48,-5.280000000000001
Maldives,MDV,12.4,12.4,0.0
Mali,MLI,11.47,8.59,-2.880000000000001
Malta,MLT,1.09,1.47,0.3799999999999999
Marshall Islands,MHL,52.22,53.94,1.7199999999999989
Mauritania,MRT,0.9,0.99,0.08999999999999997
Mauritius,MUS,20.57,19.17,-1.3999999999999986
Mexico,MEX,36.94,34.09,-2.8499999999999943
Moldova,MDA,9.89,11.26,1.3699999999999992
Monaco,MCO,0.0,0.0,0.0
Mongolia,MNG,9.21,9.1,-0.11000000000000121
Montenegro,MNE,46.54,61.49,14.950000000000003
Morocco,MAR,12.77,12.76,-0.009999999999999787
Mozambique,MOZ,52.89,41.0,-11.89
Myanmar,MMR,60.09,41.51,-18.580000000000005
Namibia,NAM,10.65,9.77,-0.8800000000000008
Nauru,NRU,0.0,0.0,0.0
Nepal,NPL,40.1,43.71,3.6099999999999994
Netherlands,NLD,10.26,10.97,0.7100000000000009
New Caledonia,NCL,45.47,48.83,3.3599999999999994
New Zealand,NZL,35.59,39.13,3.539999999999999
Nicaragua,NIC,58.99,39.73,-19.260000000000005
Niger,NER,1.54,0.83,-0.7100000000000001
Nigeria,NGA,23.68,18.81,-4.870000000000001
North Macedonia,MKD,36.16,40.69,4.530000000000001
Northern Mariana Islands,MNP,44.17,52.96,8.79
Norway,NOR,33.54,33.24,-0.29999999999999716
Oman,OMN,0.01,0.01,0.0
Pakistan,PAK,4.49,4.14,-0.35000000000000053
Palau,PLW,82.93,91.02,8.08999999999999
Panama,PAN,66.81,62.21,-4.600000000000001
Papua New Guinea,PNG,76.44,75.14,-1.2999999999999972
Paraguay,PRY,64.85,36.1,-28.749999999999993
Peru,PER,60.19,52.47,-7.719999999999999
Philippines,PHL,26.09,24.95,-1.1400000000000006
Poland,POL,29.02,31.02,2.0
Portugal,PRT,37.54,36.71,-0.8299999999999983
Puerto Rico,PRI,34.25,49.16,14.909999999999997
Qatar,QAT,0.12,0.12,0.0
Romania,ROU,27.69,30.24,2.549999999999997
Rwanda,RWA,17.71,25.72,8.009999999999998
Samoa,WSM,63.52,57.47,-6.050000000000004
San Marino,SMR,16.67,16.67,0.0
Saudi Arabia,SAU,1.29,1.29,0.0
Senegal,SEN,47.75,44.92,-2.8299999999999983
Serbia,SRB,27.51,41.33,13.819999999999997
Seychelles,SYC,74.2,57.65,-16.550000000000004
Sierra Leone,SLE,43.32,33.75,-9.57
Singapore,SGP,20.65,22.01,1.360000000000003
Sint Maarten (Dutch part),SXM,8.82,8.82,0.0
Slovenia,SVN,59.0,61.76,2.759999999999998
Solomon Islands,SLB,90.74,89.82,-0.9200000000000017
Somalia,SOM,13.2,7.7,-5.499999999999999
South Africa,ZAF,16.34,18.86,2.5199999999999996
South Sudan,SSD,11.24,11.33,0.08999999999999986
Spain,ESP,27.83,38.29,10.46
Sri Lanka,LKA,38.31,34.28,-4.030000000000001
Sudan,SDN,15.03,11.77,-3.26
Suriname,SUR,92.62,91.42,-1.2000000000000028
Sweden,SWE,68.9,68.59,-0.3100000000000023
Switzerland,CHE,29.2,32.07,2.870000000000001
Tajikistan,TJK,2.94,3.06,0.1200000000000001
Tanzania,TZA,65.66,49.0,-16.659999999999997
Thailand,THA,39.61,38.46,-1.1499999999999986
Togo,TGO,23.87,22.51,-1.3599999999999994
Tonga,TON,12.12,12.12,0.0
Trinidad and Tobago,TTO,46.96,44.06,-2.8999999999999986
Tunisia,TUN,4.15,4.43,0.27999999999999936
Turkmenistan,TKM,4.96,4.96,0.0
Turks and Caicos Islands,TCA,11.07,11.07,0.0
Tuvalu,TUV,34.33,34.33,0.0
Uganda,UGA,22.68,11.81,-10.87
Ukraine,UKR,16.01,17.41,1.3999999999999986
United Arab Emirates,ARE,4.43,4.57,0.14000000000000057
United Kingdom,GBR,11.48,13.55,2.0700000000000003
United States,USA,33.06,33.77,0.7100000000000009
Uruguay,URY,5.02,11.56,6.540000000000001
Uzbekistan,UZB,5.79,8.84,3.05
Vanuatu,VUT,81.29,74.44,-6.8500000000000085
Vietnam,VNM,29.91,47.19,17.279999999999998
Zambia,ZMB,63.78,60.36,-3.4200000000000017
Zimbabwe,ZWE,43.21,35.58,-7.630000000000003
Bahamas,BHS,50.94,50.94,0.0
Brunei,BRN,78.37,72.11,-6.260000000000005
Cape Verde,CPV,8.31,12.67,4.359999999999999
Congo,COG,65.17,63.99,-1.1799999999999997
Cote d'Ivoire,,26.09,11.87,-14.22
Curacao,,0.16,0.16,0.0
Democratic Republic of Congo,COD,70.81,61.4,-9.410000000000004
East Timor,TLS,74.01,70.9,-3.1099999999999994
Egypt,EGY,0.0,0.0,0.0
Gambia,GMB,40.98,20.7,-20.279999999999998
Iran,IRN,6.63,6.63,0.0
Kyrgyzstan,KGZ,5.93,6.55,0.6200000000000001
Laos,LAO,62.39,56.48,-5.910000000000004
Micronesia (country),,90.83,92.24,1.4099999999999966
North Korea,PRK,61.92,64.18,2.260000000000005
Russia,RUS,49.56,50.84,1.2800000000000011
Saint Kitts and Nevis,,42.31,42.31,0.0
Saint Lucia,,44.36,53.84,9.480000000000004
Saint Martin (French part),,24.8,24.8,0.0
