"","Area of permanent forest estate (1 000 ha)","Area of permanent forest estate (1 000 ha)","Area of permanent forest estate (1 000 ha)","Area of permanent forest estate (1 000 ha)","Area of permanent forest estate (1 000 ha)"
"","1990","2000","2010","2015","2020"
"Afghanistan","","","","",""
"Albania","788.80","769.20","782.07","797.18","941.00"
"Algeria","1714.96","1708.22","1701.47","1698.10","1694.73"
"American Samoa","3.12","3.11","2.54","2.54","2.54"
"Andorra","","","","",""
"Angola","2336.80","2336.80","2336.80","7033.85","7033.85"
"Anguilla","","","","",""
"Antigua and Barbuda","","","","",""
"Argentina","","","36225.20","42554.03","43105.18"
"Armenia","","","","",""
"Aruba","","","","",""
"Ascension, Saint Helena and Tristan da Cunha","","","","",""
"Australia","26576.80","26547.36","33257.38","31165.13","31878.53"
"Austria","3775.67","3838.14","3861.64","3875.73","3889.82"
"Azerbaijan","944.74","987.22","1032.49","1077.89","1161.19"
"Bahamas","","","","",""
"Bahrain","","","","",""
"Bangladesh","","","","",""
"Barbados","","","","",""
"Belarus","7780.00","8273.00","8630.00","8633.50","8767.60"
"Belgium","","","","513.17","497.79"
"Belize","","","","",""
"Benin","1420.27","1420.27","1420.27","1420.27","1420.27"
"Bermuda","","","","",""
"Bhutan","2303.64","2303.64","2303.64","2303.64","2303.64"
"Bolivia (Plurinational State of)","","41236.00","41236.00","41236.00","41236.00"
"Bonaire, Sint Eustatius and Saba","","","","",""
"Bosnia and Herzegovina","","","","",""
"Botswana","3806.90","3806.90","3806.90","3806.90","3806.90"
"Brazil","374734.50","382647.40","389068.00","397501.00","396980.80"
"British Virgin Islands","0.18","0.26","0.26","0.26","0.26"
"Brunei Darussalam","235.44","235.44","235.90","235.90","235.90"
"Bulgaria","3327.00","3375.00","3737.00","3833.00","3896.00"
"Burkina Faso","2287.32","2139.85","1992.38","1918.65","1844.91"
"Burundi","115.00","115.00","115.00","115.00","115.00"
"Cabo Verde","","","","43.61","43.61"
"Cambodia","","","","",""
"Cameroon","","","16333.69","18962.41","17401.00"
"Canada","330942.00","330508.00","332615.00","333668.00","333953.00"
"Cayman Islands","","","","",""
"Central African Republic","41358.91","44449.99","43768.07","43593.11","43360.49"
"Colombia","8692.08","8466.83","8243.87","8128.58","8130.80"
"Comoros","47.16","42.78","37.30","34.56","32.87"
"Congo","15203.00","15203.00","17503.57","18703.36","18644.47"
"Cook Islands","0.44","0.44","0.44","0.44","0.44"
"Costa Rica","","2743.90","2781.36","2890.62","2912.32"
"Côte d'Ivoire","3536.42","2975.85","2437.71","2168.64","1327.95"
"Croatia","1850.00","1885.00","1920.00","1922.00","1939.60"
"Cuba","1617.85","1888.66","2245.78","2462.47","2527.15"
"Curaçao","","","","",""
"Cyprus","105.80","105.80","107.05","107.15","114.10"
"Czechia","2582.78","2584.34","2597.88","2609.52","2596.38"
"Democratic People's Republic of Korea","","","","",""
"Democratic Republic of the Congo","","47500.00","48300.00","34323.02","31449.89"
"Denmark","420.91","420.91","427.49","446.30","439.25"
"Djibouti","","","0.90","0.91","0.91"
"Dominica","50.31","47.87","47.87","47.87","47.87"
"Dominican Republic","","","","",""
"Ecuador","2565.52","3256.32","3375.16","4725.75","4886.52"
"Egypt","3.91","3.91","4.08","4.08","4.08"
"El Salvador","","","","",""
"Equatorial Guinea","","518.89","576.89","534.39","585.07"
"Eritrea","","","","",""
"Estonia","907.00","907.00","907.00","907.00","907.00"
"Eswatini","158.36","153.69","135.33","126.52","130.23"
"Ethiopia","","","","",""
"Falkland Islands (Malvinas)","","","","",""
"Faroe Islands","","","","",""
"Fiji","","","","",""
"Finland","","","","",""
"France","14436.00","15288.00","16419.00","16836.00","17348.00"
"French Guiana","","","4400.00","4400.00","4400.00"
"French Polynesia","","","","",""
"Gabon","6856.99","13735.50","16146.54","20346.54","21276.20"
"Gambia","209.47","209.47","209.47","209.47","209.47"
"Georgia","","","","",""
"Germany","11300.00","11354.00","11409.00","11433.40","11457.40"
"Ghana","3500.00","3500.00","3500.00","3500.00","3500.00"
"Gibraltar","","","","",""
"Greece","","","","",""
"Greenland","","","","",""
"Grenada","5.00","5.00","5.00","5.00","5.00"
"Guadeloupe","73.17","72.27","71.55","72.22","72.20"
"Guam","","","","",""
"Guatemala","2464.21","2183.98","1932.03","1895.66","1846.15"
"Guernsey","","","","",""
"Guinea","1140.00","1182.13","1182.13","1182.13","1182.13"
"Guinea-Bissau","","","","",""
"Guyana","16660.00","16622.00","12417.00","12249.00","12566.00"
"Haiti","","","","",""
"Holy See","","","","",""
"Honduras","","","","","395.09"
"Hungary","1813.90","1921.17","2046.39","2060.82","2057.00"
"Chad","1426.69","1426.69","1635.21","1635.21","1635.21"
"Chile","15283.43","15194.62","15105.81","15069.08","15019.82"
"China","","","","",""
"Iceland","","","","",""
"India","77007.84","76953.80","76741.90","76741.90","77528.80"
"Indonesia","110990.86","72040.00","79831.28","80199.20","81991.90"
"Iran (Islamic Republic of)","10751.87","10751.87","10751.87","10751.87","10751.87"
"Iraq","","","","",""
"Ireland","461.64","630.36","720.38","754.67","793.32"
"Isle of Man","","","","",""
"Israel","","","80.00","80.00","80.00"
"Italy","7458.70","7858.40","8675.00","8907.00","9139.00"
"Jamaica","100.02","100.02","100.02","101.60","105.48"
"Japan","","","12006.00","12184.00","12269.00"
