"","Forest area net change calculated from table 1a (1 000 ha/year)","Forest area net change calculated from table 1a (1 000 ha/year)","Forest area net change calculated from table 1a (1 000 ha/year)","Forest area net change calculated from table 1a (1 000 ha/year)","Forest area net change calculated from table 1a (1 000 ha/year)"
"","1990-2000","2000-2010","2010-2015","2015-2020","2020-2025"
"Afghanistan","0.00","0.00","0.00","0.00","0.00"
"Albania","-1.95","1.28","3.02","28.76","0.00"
"Algeria","-0.67","-0.68","-0.67","-0.67","-0.67"
"American Samoa","-0.03","-0.15","-0.07","0.00","0.00"
"Andorra","-0.04","0.08","0.04","-0.03","0.01"
"Angola","-152.02","-510.03","-510.03","-510.03","-510.03"
"Anguilla","0.00","0.00","0.00","0.00","0.00"
"Antigua and Barbuda","-0.07","-0.07","-0.07","-0.07","-0.07"
"Argentina","-254.74","-371.48","-256.69","-189.69","-177.32"
"Armenia","-0.21","-0.04","0.38","-0.04","0.02"
"Aruba","0.00","0.00","0.00","0.00","0.00"
"Ascension, Saint Helena and Tristan da Cunha","0.00","0.00","0.00","0.00","0.00"
"Australia","-166.74","-173.62","267.28","156.72","54.09"
"Austria","6.25","2.35","2.82","2.82","2.82"
"Azerbaijan","4.25","4.53","9.08","16.66","10.49"
"Bahamas","0.00","0.00","0.00","0.00","0.00"
"Bahrain","0.00","0.00","0.00","0.12","0.48"
"Bangladesh","-6.50","-3.21","-0.99","-0.99","-0.99"
"Barbados","0.00","0.00","0.00","0.00","0.00"
"Belarus","49.30","35.70","0.70","41.91","26.47"
"Belgium","-1.01","2.26","-0.11","-3.76","0.00"
"Belize","-7.59","-7.59","-7.53","-7.53","-7.53"
"Benin","-130.58","-141.01","-151.43","-37.38","-37.38"
"Bermuda","0.00","0.00","0.00","0.00","0.00"
"Bhutan","9.93","9.93","1.98","0.40","-8.48"
"Bolivia (Plurinational State of)","-268.83","-158.62","-162.51","-223.62","-239.76"
"Bonaire, Sint Eustatius and Saba","0.00","0.00","0.00","0.00","0.00"
"Bosnia and Herzegovina","-9.84","-0.90","11.57","-0.72","1.04"
"Botswana","0.00","0.00","0.00","0.46","0.00"
"Brazil","-5772.29","-3563.29","-1915.70","-2628.41","-3256.05"
"British Virgin Islands","0.00","0.00","0.00","0.00","0.00"
"Brunei Darussalam","-1.60","-1.70","0.00","0.00","0.00"
"Bulgaria","4.80","36.20","19.20","12.60","12.60"
"Burkina Faso","-192.11","-134.31","-119.86","-119.86","-119.86"
"Burundi","-8.25","0.00","17.14","0.00","0.00"
"Cabo Verde","0.44","0.44","0.51","0.62","0.62"
"Cambodia","-22.38","-19.18","-348.48","-194.00","-308.73"
"Cameroon","-90.25","-69.70","-56.00","-178.50","-116.96"
"Canada","-47.23","512.61","512.61","174.76","-9.82"
"Cayman Islands","-0.02","-0.02","0.00","0.00","0.00"
"Central African Republic","-34.99","-34.99","-34.99","-46.52","-46.52"
"Colombia","-253.25","-113.86","-93.60","-168.10","-133.28"
"Comoros","-0.44","-0.55","-0.55","-0.34","0.10"
"Congo","-12.00","-12.00","-20.34","-25.90","14.00"
"Cook Islands","0.07","0.00","0.00","0.00","0.00"
"Costa Rica","9.03","3.17","14.74","3.52","3.52"
"Côte d'Ivoire","-213.45","-116.48","-109.86","-54.06","-80.82"
"Croatia","3.50","3.50","0.40","3.52","1.32"
"Cuba","38.70","51.04","61.93","18.49","2.19"
"Curaçao","0.00","0.00","0.00","0.00","0.00"
"Cyprus","1.05","0.12","-0.03","-0.03","-0.17"
"Czechia","2.58","1.47","2.58","6.05","9.04"
"Democratic People's Republic of Korea","0.00","10.22","11.35","11.35","11.36"
"Democratic Republic of the Congo","-674.99","-674.99","-1004.50","-282.89","-282.89"
"Denmark","4.02","1.47","7.58","1.69","1.97"
"Djibouti","0.00","0.00","0.01","0.05","0.01"
"Dominica","-0.03","-0.02","-0.11","-0.05","-0.04"
"Dominican Republic","3.37","2.05","5.71","1.90","6.62"
"Ecuador","-90.17","-70.21","-41.83","-71.62","-30.15"
"Egypt","0.00","0.02","0.00","0.00","0.01"
