"","Most recent year:","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","#6 Ranked","#6 Ranked","#6 Ranked","#7 Ranked","#7 Ranked","#7 Ranked","#8 Ranked","#8 Ranked","#8 Ranked","#9 Ranked","#9 Ranked","#9 Ranked","#10 Ranked","#10 Ranked","#10 Ranked","Remaining native tree species","Remaining native tree species","Remaining native tree species","TOTAL native tree species","TOTAL native tree species","TOTAL native tree species","#1 Ranked","#1 Ranked","#1 Ranked","#2 Ranked","#2 Ranked","#2 Ranked","#3 Ranked","#3 Ranked","#3 Ranked","#4 Ranked","#4 Ranked","#4 Ranked","#5 Ranked","#5 Ranked","#5 Ranked","Remaining introduced tree species","Remaining introduced tree species","Remaining introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","TOTAL introduced tree species","Total growing stock","Total growing stock","Total growing stock"
"","Most recent year:","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest","Common name","Million m³","% of total growing stock in forest"
"Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","2017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Algeria","1984","Pin d’Alep","39.66","42.21","Chène liège","20.15","21.45","Cèdre de l'Atlas","7.07","7.52","Thuya","5.98","6.36","Chêne Zeen","4.46","4.75","Chêne Afarès","4.46","4.75","Chêne Vert","4.44","4.73","Pin maritime","1.86","1.98","Genévriers","1.00","1.06","","","","","1.51","1.61","","90.59","96.41","Eucalyptus","3.37","3.59","","","","","","","","","","","","","","","","","3.37","3.59","","93.96",""
"American Samoa","2012","","0.28","16.00","","0.19","10.86","","0.15","8.57","","0.13","7.43","","0.12","6.86","","0.12","6.86","","0.07","4.00","","0.06","3.43","","0.06","3.43","","0.06","3.43","","0.51","29.14","","1.75","100.00","","","","","","","","","","","","","","","","","","","","","","","1.75",""
"Andorra","2022","Pinares de pino negro mesófilos","1.33","29.04","Pinares de pino negro xerófilos","0.91","19.87","Pinares de pino silvestre xerófilos","0.88","19.21","Pinares de pino silvestre mesófilos","0.84","18.34","Bosques mixtos con fresno, abedul y álamo temblón","0.17","3.71","Abetosas (Abies alba)","0.32","6.99","Carrascar","0.03","0.66","Roble pubescente","0.02","0.44","Roble albar","0.01","0.22","Betula pendula","0.01","0.22","","0.06","1.31","","4.58","100.00","","","","","","","","","","","","","","","","","","","","","","","4.58",""
"Angola","2013","Ngungu/Munguati/Omaku/Mukosou/Mucaráti","135.89","5.33","Mumua / Omune / Muntombe","90.40","3.54","Sulo/Manga/Mumanga","86.83","3.40","Musese/Muhala/Okanina-hombo/Muhaiu","75.29","2.95","Acácia da montanha/Mu'unze","74.72","2.93","Copalier(ing)/Muxibi/Mux","69.67","2.73","Omanda/Onduku/Messassa/Mupanda","43.00","1.69","Omukalati","36.51","1.43","Omutuate/Omuthyati/Mopane","29.09","1.14","","16.07","0.63","","1869.19","73.29","","2526.66","99.07","Eucalipto","21.12","0.83","","2.58","0.10","","","","","","","","","","","","","","23.7","0.93","","2550.36",""
"Anguilla","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","2000","Lenga","705.62","20.53","Coihue","490.86","14.28","Quebracho blanco","337.47","9.82","Quebracho colorado santiagueño","184.07","5.36","Mistol","122.72","3.57","Caldén","92.04","2.68","Palo santo","61.36","1.79","Algarrobo negro","61.36","1.79","Yuchán","61.36","1.79","Laurel del cerro","61.36","1.79","","889.68","25.89","","3067.9","89.26","Pino ellioti","154.63","4.50","Pino taeda","103.09","3.00","Eucalipto","68.73","2.00","Alamo","11.02","0.32","Sauce","4.72","0.14","","26.85","0.78","","369.04","10.74","","3436.94",""
