regions,subregions,iso3,iso2,m49,name,Desk study,year,1a_forestArea,1a_otherWoodedLand,1a_landArea,1b_naturallyRegeneratingForest,1b_primary,1b_plantedForest,1b_plantationForest,1b_plantationForestIntroduced,1b_otherPlantedForest,1b_primaryForestBoreal,1b_primaryForestTemperate,1b_primaryForestSubTropical,1b_primaryForestTropical,1c_bamboos,1c_mangroves,1c_rubber,1e_palms,1e_treeOrchards,1e_agroforestry,1e_treesUrbanSettings,1e_other,2a_gs_ha_nat_reg,2a_gs_ha_primary,2a_gs_ha_introduced,2a_gs_ha_forest,2a_gs_ha_plantation,2a_gs_ha_planted,2a_gs_ha_owl,2a_gs_ha_other_planted,2a_gs_tot_nat_reg,2a_gs_total_primary,2a_gs_total_introduced,2a_gs_tot_planted,2a_gs_tot_plantation,2a_gs_tot_other_planted,2a_gs_tot_forest,2a_gs_tot_owl,2b_native_#1,2b_native_#2,2b_native_#3,2b_native_#4,2b_native_#5,2b_native_#6,2b_native_#7,2b_native_#8,2b_native_#9,2b_native_#10,2b_native_remaining,2b_native_total,2b_introduced_#1,2b_introduced_#2,2b_introduced_#3,2b_introduced_#4,2b_introduced_#5,2b_introduced_remaining,2b_introduced_total,2b_total_gs,2c_agb,2c_bgb,2c_dwb,2c_agb_total,2c_bgb_total,2c_dwb_total,2d_carbon_agb,2d_carbon_bgb,2d_carbon_dw,2d_carbon_litter,2d_carbon_soil,2d_carbon_agb_total,2d_carbon_bgb_total,2d_carbon_dw_total,2d_carbon_litter_total,2d_carbon_soil_total,2d_soil_depth_cm,3a_prim_prod,3a_prim_prot,3a_prim_biodiv,3a_prim_socserv,3a_prim_multi,3a_prim_other,3a_prim_no,3a_prim_unknown,3a_tot_prod,3a_tot_prot,3a_tot_biodiv,3a_tot_socserv,3a_tot_other,3b_protected,3b_forMngt,3b_mngtProt,4a_priv_own,4a_individ,4a_bus_inst_fo,4a_indigenous_fo,4a_pub_own,4a_fo_other,4a_fo_unknown,4b_pub_admin,4b_bus_inst_mr,4b_indigenous_mr,4b_unknown,4b_other,5c_y_n,6a_policies_national,6a_policies_sub_national,6a_legislation_national,6a_legislation_sub_national,6a_platform_national,6a_platform_sub_national,6a_traceability_national,6a_traceability_sub_national,6b_pfe_y_n,6b_pfe_area
"Asia","Western and Central Asia","AFG","AF","004","Afghanistan","Yes","1990","1209.44","571.61","65223.00","1209.44","","0.00","0.00","0.00","0.00","0.00","","","0.00","","","","","200.09","3.26","","","17.48","","","17.48","","","","","21.14","","0.00","0.00","0.00","0.00","21.14","","","","","","","","","","","","","","","","","","","","","","87.40","23.07","","105.71","27.90","","41.08","10.84","","","","49.68","13.11","","","","","0.00","0.00","46.09","0.00","1163.35","0.00","0.00","0.00","","","","","","46.09","","","0.00","0.00","0.00","0.00","1209.44","0.00","0.00","1209.44","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","no","no","no",""
"Asia","Western and Central Asia","AFG","AF","004","Afghanistan","Yes","2000","1209.44","571.61","65223.00","1209.44","","0.00","0.00","0.00","0.00","0.00","","","0.00","","","","","200.09","3.26","","","17.48","","","17.48","","","","","21.14","","0.00","0.00","0.00","0.00","21.14","","","","","","","","","","","","","","","","","","","","","","87.40","23.07","","105.71","27.90","","41.08","10.84","","","","49.68","13.11","","","","","0.00","0.00","46.09","0.00","1163.35","0.00","0.00","0.00","","","","","","46.09","","","0.00","0.00","0.00","0.00","1209.44","0.00","0.00","1209.44","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","no","no","no",""
"Asia","Western and Central Asia","AFG","AF","004","Afghanistan","Yes","2010","1209.44","571.61","65223.00","1209.44","","0.00","0.00","0.00","0.00","0.00","","","0.00","","","","","200.09","3.26","","","17.48","","","17.48","","","","","21.14","","0.00","0.00","0.00","0.00","21.14","","","","","","","","","","","","","","","","","","","","","","87.40","23.07","","105.71","27.90","","41.08","10.84","","","","49.68","13.11","","","","","0.00","0.00","46.09","0.00","1163.35","0.00","0.00","0.00","","","","","","46.09","","","0.00","0.00","0.00","0.00","1209.44","0.00","0.00","1209.44","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","no","no","no",""
"Asia","Western and Central Asia","AFG","AF","004","Afghanistan","Yes","2015","1209.44","571.61","65223.00","1209.44","","0.00","0.00","0.00","0.00","0.00","","","0.00","","","","","200.09","3.26","","","17.48","","","17.48","","","","","21.14","","0.00","0.00","0.00","0.00","21.14","","","","","","","","","","","","","","","","","","","","","","87.40","23.07","","105.71","27.90","","41.08","10.84","","","","49.68","13.11","","","","","0.00","0.00","46.09","0.00","1163.35","0.00","0.00","0.00","","","","","","46.09","","","0.00","0.00","0.00","0.00","1209.44","0.00","0.00","1209.44","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","no","no","no",""
"Asia","Western and Central Asia","AFG","AF","004","Afghanistan","Yes","2020","1209.44","571.61","65223.00","1209.44","","0.00","0.00","0.00","0.00","0.00","","","0.00","","","","","200.09","3.26","","","17.48","","","17.48","","","","","21.14","","0.00","0.00","0.00","0.00","21.14","","","","","","","","","","","","","","","","","","","","","","87.40","23.07","","105.71","27.90","","41.08","10.84","","","","49.68","13.11","","","","","0.00","0.00","46.09","0.00","1163.35","0.00","0.00","0.00","","","","","","46.09","","","0.00","0.00","0.00","0.00","1209.44","0.00","0.00","1209.44","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","no","no","no",""
"Asia","Western and Central Asia","AFG","AF","004","Afghanistan","Yes","2025","1209.44","571.61","65223.00","1209.44","","0.00","0.00","0.00","0.00","0.00","","","0.00","","","","","200.09","3.26","","","17.48","","","17.48","","","","","21.14","","0.00","0.00","0.00","0.00","21.14","","","","","","","","","","","","","","","","","","","","","","87.40","23.07","","105.71","27.90","","41.08","10.84","","","","49.68","13.11","","","","","0.00","0.00","46.09","0.00","1163.35","0.00","0.00","0.00","","","","","","46.09","","","","","","","","","","","","","","","yes","yes","yes","yes","yes","yes","yes","no","no","no",""
"Europe","","ALB","AL","008","Albania","No","1990","788.80","256.00","2740.00","","84.80","","","","","0.00","","","0.00","0.00","0.00","0.00","0.00","","","","","","","","95.40","","","26.95","","","","","","","","75.25","6.90","","","","","","","","","","","","","","","","","","","","","59.92","15.25","","47.26","12.03","","28.16","7.17","","","","22.21","5.66","","","","","685.00","86.90","16.90","0.00","0.00","0.00","0.00","0.00","","","","","","103.70","","","0.00","","","","788.80","0.00","0.00","","","","788.80","","","yes","yes","yes","yes","","","","","yes","788.80"
"Europe","","ALB","AL","008","Albania","No","2000","769.30","255.00","2740.00","","84.80","","","","","0.00","","","0.00","0.00","0.00","0.00","0.00","","","","","","","","98.56","","","31.37","","","","","","","","75.82","8.00","","","","","","","","","","","","","","","","","","","","","61.91","15.75","","47.63","12.12","","29.10","7.40","","","","22.39","5.69","","","","","620.00","96.80","52.40","0.00","0.00","0.00","0.00","0.10","","","","","","149.20","","","6.80","","","","762.50","0.00","0.00","","","","762.50","","","yes","yes","yes","yes","","","","","yes","769.20"
"Europe","","ALB","AL","008","Albania","No","2010","782.07","260.69","2740.00","","84.80","","","","","0.00","","","0.00","0.00","0.00","0.00","0.00","","","","","","","","88.66","","","27.47","","","","","","","","69.34","7.16","","","","","","","","","","","","","","","","","","","","","55.69","14.17","","43.55","11.08","","26.17","6.66","","","","20.47","5.21","","","","","614.20","131.10","31.00","0.00","0.00","0.00","0.00","5.77","","","","","","162.10","","","20.57","","","","761.50","0.00","0.00","","","","761.50","","","yes","yes","yes","yes","","","","","yes","782.07"
"Europe","","ALB","AL","008","Albania","No","2015","797.18","255.07","2740.00","","84.80","","","","","0.00","","","0.00","0.00","0.00","0.00","0.00","","","","","","","","62.88","","","20.07","","","","","","","","50.13","5.12","","","","","","","","","","","","","","","","","","","","","46.66","13.36","","37.20","10.65","","21.93","6.28","","","","17.48","5.01","","","","","602.70","131.10","31.00","0.00","0.00","0.00","0.00","32.38","","","","","","173.33","","","23.72","","","","765.34","0.00","8.12","","","","765.34","","","yes","yes","yes","yes","","","","","yes","797.18"
"Europe","","ALB","AL","008","Albania","No","2020","941.00","256.00","2740.00","","84.80","","","","","0.00","","","0.00","0.00","0.00","0.00","0.00","","","","","","","","55.72","","","20.70","","","","","","","","52.43","5.30","","","","","","","","","","","","","","","","","","","","","41.34","11.84","","38.90","11.14","","19.43","5.57","","","","18.28","5.24","","","","","789.40","127.30","21.20","3.10","0.00","0.00","0.00","0.00","","","","","","173.33","","","22.62","","","","918.38","0.00","0.00","","","","918.38","","","yes","yes","yes","yes","","","","","yes","941.00"
"Europe","","ALB","AL","008","Albania","No","2025","941.00","256.00","2740.00","","84.80","","","","","0.00","","","0.00","0.00","0.00","0.00","0.00","","","","","","","","55.72","","","20.70","","","","","","","","52.43","5.30","","","","","","","","","","","","","","","","","","","","","41.34","11.84","","38.90","11.14","","19.43","5.57","","","","18.28","5.24","","","","","789.40","127.30","21.20","3.10","0.00","0.00","0.00","0.00","","","","","","173.33","","","","","","","","","","","","","","","","yes","yes","yes","yes","","","","","yes","941.00"
"Africa","Northern Africa","DZA","DZ","012","Algeria","No","1990","1714.96","2010.27","238174.00","1464.21","0.00","250.75","0.00","0.00","250.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","78.64","373.67","","","","62.98","","","62.98","","62.98","3.70","62.98","92.22","0.00","0.00","15.79","0.00","15.79","108.01","7.44","","","","","","","","","","","","","","","","","","","","","44.09","14.99","","75.61","25.71","","20.72","7.04","","","38.00","35.53","12.07","","","65.17","30.00","638.00","956.99","117.17","2.80","0.00","0.00","0.00","0.00","638.00","","117.17","","","117.17","0.00","0.00","352.77","","","","1362.19","0.00","0.00","1362.19","0.00","0.00","0.00","0.00","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","1714.96"
