Entity,Forest share 1990 (%),Forest share 2025 (%)
Afghanistan,1.85,1.85
Albania,28.79,34.34
Algeria,0.72,0.71
American Samoa,90.35,79.25
Andorra,37.64,38.77
Angola,62.19,50.74
Antigua and Barbuda,22.98,17.7
Argentina,20.46,17.03
Armenia,11.76,11.74
Aruba,2.72,2.72
Australia,17.5,17.36
Austria,45.75,47.31
Azerbaijan,11.43,14.68
Bahamas,50.94,50.94
Bahrain,1.73,5.53
Bangladesh,15.25,14.39
Barbados,14.65,14.65
Belarus,38.33,44.22
Belgium,22.21,21.99
Belize,69.26,57.65
Benin,61.9,27.79
Bermuda,14.44,14.44
Bhutan,65.72,70.13
Bolivia,57.02,50.19
Bosnia and Herzegovina,43.16,42.23
Botswana,27.75,27.76
Brazil,73.99,58.16
British Virgin Islands,66.67,66.47
Brunei,78.37,72.11
Bulgaria,30.65,36.47
Burkina Faso,30.33,11.83
Burundi,10.77,10.89
Cambodia,62.34,35.88
Cameroon,47.6,40.5
Canada,41.05,41.97
Cape Verde,8.31,12.67
Cayman Islands,54.71,53.0
Central African Republic,74.54,72.39
Chad,5.34,2.87
Chile,22.61,24.43
China,16.74,24.2
Colombia,58.68,53.59
Comoros,25.34,17.93
Congo,65.17,63.99
Costa Rica,54.03,58.55
Cote d'Ivoire,26.09,11.87
Croatia,33.06,34.78
Cuba,22.27,34.9
Curacao,0.16,0.16
Cyprus,17.44,18.58
Czechia,36.79,38.46
Democratic Republic of Congo,70.81,61.4
Denmark,13.29,16.06
Djibouti,0.24,0.26
Dominica,78.44,76.47
Dominican Republic,44.24,46.84
East Timor,74.01,70.9
Ecuador,58.92,49.57
Egypt,0.0,0.0
El Salvador,35.5,33.05
England,8.0,
Equatorial Guinea,96.23,85.8
Eritrea,13.64,11.91
Estonia,51.62,57.26
Eswatini,28.23,25.18
Ethiopia,25.29,23.7
European Union (27),36.49,40.49
Faroe Islands,0.06,0.06
Fiji,51.43,62.21
Finland,71.97,74.17
France,26.36,32.5
French Guiana,97.27,95.55
French Polynesia,41.61,43.06
Gabon,92.27,91.42
Gambia,40.98,20.7
Georgia,43.61,44.62
Germany,32.34,32.86
Ghana,25.52,31.01
Greece,28.77,36.95
Greenland,0.0,0.0
Grenada,52.06,52.06
Guam,44.44,52.35
Guatemala,45.28,32.99
Guinea,29.31,19.77
Guinea-Bissau,80.28,74.67
Guyana,94.5,93.36
Haiti,13.4,13.5
High-income countries,36.15,37.19
Honduras,68.32,52.38
Hungary,19.88,22.87
Iceland,0.18,0.61
India,21.5,24.46
Indonesia,61.47,50.71
Iran,6.63,6.63
Iraq,1.85,1.6
Ireland,6.7,12.09
Isle of Man,6.37,6.44
