Entity,Code,Year,Share of land covered by forest,Share of land covered by forest (Annotations)
Afghanistan,AFG,diff_2025_minus_1990,0.0,
Albania,ALB,diff_2025_minus_1990,5.554746999999999,
Algeria,DZA,diff_2025_minus_1990,-0.009908730000000032,
American Samoa,ASM,diff_2025_minus_1990,-11.099999999999994,
Andorra,AND,diff_2025_minus_1990,1.1276590000000013,
Angola,AGO,diff_2025_minus_1990,-11.446987,
Antigua and Barbuda,ATG,diff_2025_minus_1990,-5.272725999999999,
Argentina,ARG,diff_2025_minus_1990,-3.4317449999999994,
Armenia,ARM,diff_2025_minus_1990,-0.02212800000000037,
Aruba,ABW,diff_2025_minus_1990,0.0,
Australia,AUS,diff_2025_minus_1990,-0.13170300000000168,
Austria,AUT,diff_2025_minus_1990,1.5540459999999996,
Azerbaijan,AZE,diff_2025_minus_1990,3.2537209999999988,
Bahamas,BHS,diff_2025_minus_1990,0.0,
Bahrain,BHR,diff_2025_minus_1990,3.7974688000000003,
Bangladesh,BGD,diff_2025_minus_1990,-0.8595690000000005,
Barbados,BRB,diff_2025_minus_1990,0.0,
Belarus,BLR,diff_2025_minus_1990,5.888962999999997,
Belgium,BEL,diff_2025_minus_1990,-0.22561899999999824,
Belize,BLZ,diff_2025_minus_1990,-11.608069999999998,
Benin,BEN,diff_2025_minus_1990,-34.115377,
Bermuda,BMU,diff_2025_minus_1990,0.0,
Bhutan,BTN,diff_2025_minus_1990,4.4053499999999985,
Bolivia,BOL,diff_2025_minus_1990,-6.834645999999999,
Bosnia and Herzegovina,BIH,diff_2025_minus_1990,-0.9359350000000006,
Botswana,BWA,diff_2025_minus_1990,0.004058999999998036,
Brazil,BRA,diff_2025_minus_1990,-15.835658000000002,
British Virgin Islands,VGB,diff_2025_minus_1990,-0.19999400000000378,
Brunei,BRN,diff_2025_minus_1990,-6.261859999999999,
Bulgaria,BGR,diff_2025_minus_1990,5.821664000000002,
Burkina Faso,BFA,diff_2025_minus_1990,-18.501975,
Burundi,BDI,diff_2025_minus_1990,0.12305250000000001,
Cambodia,KHM,diff_2025_minus_1990,-26.4651,
Cameroon,CMR,diff_2025_minus_1990,-7.101138999999996,
Canada,CAN,diff_2025_minus_1990,0.914989999999996,
Cape Verde,CPV,diff_2025_minus_1990,4.357320000000001,
Cayman Islands,CYM,diff_2025_minus_1990,-1.7083319999999986,
Central African Republic,CAF,diff_2025_minus_1990,-2.1510200000000026,
Chad,TCD,diff_2025_minus_1990,-2.4767791999999997,
Chile,CHL,diff_2025_minus_1990,1.8169360000000019,
China,CHN,diff_2025_minus_1990,7.457481999999999,
Colombia,COL,diff_2025_minus_1990,-5.088719999999995,
Comoros,COM,diff_2025_minus_1990,-7.4099949999999986,
Congo,COG,diff_2025_minus_1990,-1.1748129999999932,
Costa Rica,CRI,diff_2025_minus_1990,4.522133000000004,
Cote d'Ivoire,CIV,diff_2025_minus_1990,-14.223174,
Croatia,HRV,diff_2025_minus_1990,1.7190799999999982,
Cuba,CUB,diff_2025_minus_1990,12.624082999999999,
Curacao,CUW,diff_2025_minus_1990,0.0,
Cyprus,CYP,diff_2025_minus_1990,1.146101999999999,
Czechia,CZE,diff_2025_minus_1990,1.6700440000000043,
Democratic Republic of Congo,COD,diff_2025_minus_1990,-9.418035000000003,
Denmark,DNK,diff_2025_minus_1990,2.7780000000000005,
Djibouti,DJI,diff_2025_minus_1990,0.01423642,
Dominica,DMA,diff_2025_minus_1990,-1.9733300000000042,
Dominican Republic,DOM,diff_2025_minus_1990,2.599899999999998,
East Timor,TLS,diff_2025_minus_1990,-3.1096200000000067,
Ecuador,ECU,diff_2025_minus_1990,-9.348888000000002,
Egypt,EGY,diff_2025_minus_1990,0.0002009144000000001,
El Salvador,SLV,diff_2025_minus_1990,-2.4454610000000017,
Equatorial Guinea,GNQ,diff_2025_minus_1990,-10.428870000000003,
Eritrea,ERI,diff_2025_minus_1990,-1.7290860000000006,
Estonia,EST,diff_2025_minus_1990,5.636555000000001,
Eswatini,SWZ,diff_2025_minus_1990,-3.052325999999997,
Ethiopia,ETH,diff_2025_minus_1990,-1.586431000000001,
European Union (27),,diff_2025_minus_1990,4.000353999999994,
Faroe Islands,FRO,diff_2025_minus_1990,0.0,
Fiji,FJI,diff_2025_minus_1990,10.777777,
Finland,FIN,diff_2025_minus_1990,2.1966560000000044,
France,FRA,diff_2025_minus_1990,6.1345220000000005,
