"","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","Naturally regenerating forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)","…of which primary forest (1 000 ha)"
"","1990","2000","2010","2015","2020","2025","1990","2000","2010","2015","2020","2025"
"Afghanistan","1209.44","1209.44","1209.44","1209.44","1209.44","1209.44","","","","","",""
"Albania","","","","","","","84.80","84.80","84.80","84.80","84.80","84.80"
"Algeria","1464.21","1451.22","1438.22","1431.72","1425.22","1418.72","0.00","0.00","0.00","0.00","0.00","0.00"
"American Samoa","18.07","17.73","16.19","15.85","15.85","15.85","7.90","5.30","2.69","1.38","0.09","0.09"
"Andorra","17.69","17.29","18.08","18.29","18.16","18.22","0.00","0.00","0.00","0.00","0.00","0.00"
"Angola","77417.91","75919.39","70844.21","68302.49","65754.59","63206.69","30224.15","29633.36","27645.16","26651.06","25656.96","24662.86"
"Anguilla","","","","","","","","","","","",""
"Antigua and Barbuda","10.11","9.45","8.78","8.45","8.12","7.79","0.00","0.00","0.00","0.00","0.00","0.00"
"Argentina","55220.62","52362.22","48534.45","47154.02","46194.59","45282.00","","","","","",""
"Armenia","133.89","133.06","132.92","133.20","133.48","133.75","20.08","19.96","19.94","19.98","20.02","20.06"
"Aruba","0.49","0.49","0.49","0.49","0.49","0.49","","","","","",""
"Ascension, Saint Helena and Tristan da Cunha","2.02","2.02","2.02","2.02","2.02","2.02","","","","","",""
"Australia","133551.75","131422.59","128855.59","130224.21","131204.22","131504.45","15091.35","15091.26","15091.57","15091.68","15091.11","15091.45"
"Austria","2298.11","2398.64","2490.79","2524.13","2557.47","2590.80","63.00","63.00","63.00","63.00","63.00","63.00"
"Azerbaijan","651.87","681.18","743.40","754.52","857.50","905.63","","","","","",""
"Bahamas","509.86","509.86","509.86","509.86","509.86","509.86","0.00","0.00","0.00","0.00","0.00","0.00"
"Bahrain","0.06","0.06","0.06","0.06","0.06","0.06","0.00","0.00","0.00","0.00","0.00","0.00"
"Bangladesh","1895.54","1845.16","1816.31","1725.21","1634.25","1543.16","","","","","",""
"Barbados","6.30","6.30","6.30","6.30","6.30","6.30","0.00","0.00","0.00","0.00","0.00","0.00"
"Belarus","6576.43","6413.23","6483.72","6421.60","6611.06","6710.01","134.82","134.68","134.86","134.85","134.69","134.80"
"Belgium","231.10","259.20","283.40","251.20","243.30","243.30","0.00","0.00","0.00","0.00","0.00","0.00"
"Belize","1578.53","1502.62","1426.72","1389.06","1351.41","1313.75","1441.50","1390.33","1343.58","1300.86","1243.05","1196.51"
"Benin","6893.49","5620.73","4224.77","3465.19","3278.01","3090.82","3570.87","2645.11","1752.80","1323.37","1264.18","1205.01"
"Bermuda","","","","","","","","","","","",""
"Bhutan","2487.29","2586.47","2685.54","2694.91","2696.78","2654.36","413.00","413.00","413.04","413.00","413.00","413.00"
"Bolivia (Plurinational State of)","61754.24","59050.91","57449.62","56630.23","55474.28","54254.02","","","","","",""
"Bonaire, Sint Eustatius and Saba","4.21","4.21","4.21","4.21","4.21","4.21","","","","","",""
"Bosnia and Herzegovina","","","","2041.19","2043.77","2049.48","","","","","",""
"Botswana","15727.90","15727.90","15727.90","15727.90","15730.20","15730.20","","","","","",""
"Brazil","614885.16","557068.17","517759.14","505570.98","492741.15","476873.12","262106.50","250757.23","236613.25","233453.85","228319.47","224501.74"
"British Virgin Islands","9.99","9.99","9.97","9.96","9.96","9.96","0.03","0.03","0.03","0.03","0.03","0.03"
"Brunei Darussalam","412.00","396.00","376.29","374.91","374.47","374.20","313.00","288.00","263.00","263.00","263.00","263.00"
"Bulgaria","2295.00","2442.00","2920.00","3009.00","3117.00","3225.00","157.00","270.00","597.00","704.00","596.00","596.00"
"Burkina Faso","8288.39","6366.36","5026.00","4428.53","3831.08","3233.63","0.00","0.00","0.00","0.00","0.00","0.00"
"Burundi","115.10","80.97","80.97","166.67","166.67","166.67","92.08","64.78","64.78","64.78","64.78","64.78"
"Cabo Verde","13.68","13.68","13.68","13.68","13.68","13.68","0.00","0.00","0.00","0.00","0.00","0.00"
"Cambodia","10937.50","10681.09","10434.70","8302.55","7316.22","5736.72","835.09","492.04","322.14","322.17","322.17","322.17"
"Cameroon","22481.90","21576.39","20859.38","20569.38","19606.90","19022.12","4204.12","4034.78","3900.70","3846.47","3666.49","3557.14"
"Canada","356155.89","350909.15","351289.82","351728.76","350425.57","348111.24","222708.09","222708.09","209536.25","202950.33","200315.96","200315.96"
"Cayman Islands","13.13","12.93","12.72","12.72","12.72","12.72","","","","","",""
"Central African Republic","46432.91","46082.99","45733.07","45558.11","45323.86","45090.90","3900.20","3900.20","3899.43","3898.92","3898.31","3898.41"
"Colombia","65005.80","62404.64","61018.07","60502.20","59582.85","58915.73","","","","","",""
"Comoros","44.75","40.37","35.99","33.80","31.61","31.61","0.00","0.00","0.00","0.00","0.00","0.00"
"Congo","22195.90","22075.90","21955.90","21854.20","21724.70","21719.70","12930.68","12930.68","12930.68","12930.68","12930.68","12930.68"
"Cook Islands","14.40","14.40","14.40","14.40","14.40","14.40","14.40","14.40","14.40","14.40","14.40","14.40"
"Costa Rica","2742.49","2743.90","2781.36","2890.62","2912.32","2944.72","","","","","",""
"Côte d'Ivoire","8211.93","6009.17","4611.58","3912.78","3332.53","2870.83","407.36","407.36","407.36","407.36","407.36","407.36"
"Croatia","1757.69","1803.40","1845.16","1847.16","1864.92","1872.08","6.73","6.73","6.73","6.73","6.73","6.73"
"Cuba","1922.17","2319.95","2665.95","2847.03","2961.37","2962.99","0.00","0.00","0.00","0.00","0.00","0.00"
"Curaçao","0.07","0.07","0.07","0.07","0.07","0.07","","","","","",""
"Cyprus","136.77","144.05","142.17","141.56","139.67","138.83","","","","","",""
"Czechia","375.10","378.50","380.45","382.15","459.44","466.54","30.65","30.93","31.09","31.23","18.97","19.26"
"Democratic People's Republic of Korea","6325.43","6192.10","6160.94","6151.05","6141.15","6131.26","","","","","",""
"Democratic Republic of the Congo","160433.16","153694.40","146947.45","141915.73","140484.15","139058.13","115588.93","110729.16","105869.12","102252.93","101234.53","100216.12"
"Denmark","","","146.82","173.98","205.25","212.30","","","23.80","16.09","14.47","10.53"
"Djibouti","5.60","5.60","5.60","5.60","5.60","5.60","0.90","0.90","0.90","0.90","0.90","0.90"
"Dominica","58.83","58.55","58.36","57.80","57.57","57.35","28.27","28.27","28.22","28.13","28.13","28.13"
"Dominican Republic","2111.14","2122.75","2075.98","2064.67","2015.07","2030.65","455.08","409.08","363.08","340.08","317.08","294.08"
"Ecuador","14587.77","13660.35","12943.55","12692.30","12340.17","12190.17","","","","","",""
"Egypt","0.53","0.53","0.70","0.70","0.70","0.70","0.00","0.00","0.00","0.00","0.00","0.00"
"El Salvador","729.75","698.77","667.79","667.91","671.93","675.96","","","","","",""
"Equatorial Guinea","2699.15","2615.58","2532.01","2490.22","2448.42","2406.62","2520.65","2306.36","2092.08","2000.75","1972.70","1944.65"
"Eritrea","1641.30","1581.51","1521.71","1491.82","1461.94","1432.06","0.00","0.00","0.00","0.00","0.00","0.00"
"Estonia","2010.73","2040.80","2129.34","2212.72","2212.76","2196.05","39.60","56.70","59.19","51.43","53.92","51.96"
