"","Planted forest (million m³ over bark)","Planted forest (million m³ over bark)","Planted forest (million m³ over bark)","Planted forest (million m³ over bark)","Planted forest (million m³ over bark)","Planted forest (million m³ over bark)"
"","1990","2000","2010","2015","2020","2025"
"Afghanistan","0.00","0.00","0.00","0.00","0.00","0.00"
"Albania","","","","","",""
"Algeria","15.79","16.19","16.58","16.78","16.97","17.17"
"American Samoa","0.00","0.00","0.00","0.00","0.00","0.00"
"Andorra","0.00","0.00","0.00","0.00","0.00","0.00"
"Angola","15.00","24.26","26.61","23.34","22.47","21.60"
"Anguilla","","","","","",""
"Antigua and Barbuda","0.00","0.00","0.00","0.00","0.00","0.00"
"Argentina","262.77","369.04","407.65","440.79","444.55","477.04"
"Armenia","20.08","19.96","19.94","20.10","20.02","20.04"
"Aruba","0.00","0.00","0.00","0.00","0.00","0.00"
"Ascension, Saint Helena and Tristan da Cunha","0.00","0.00","0.00","0.00","0.00","0.00"
"Australia","","","","","",""
"Austria","397.36","450.31","468.03","472.90","477.67","482.33"
"Azerbaijan","","","","","",""
"Bahamas","0.00","0.00","0.00","0.00","0.00","0.00"
"Bahrain","0.04","0.04","0.04","0.04","0.06","0.13"
"Bangladesh","6.52","5.46","5.22","11.48","20.99","28.39"
"Barbados","0.00","0.00","0.00","0.00","0.00","0.00"
"Belarus","157.40","231.09","347.08","399.25","413.62","375.82"
"Belgium","","","","116.90","118.89","118.89"
"Belize","0.21","0.21","0.21","0.21","0.21","0.21"
"Benin","0.47","0.77","0.92","1.16","1.36","1.56"
"Bermuda","","","","","",""
"Bhutan","","","","","",""
"Bolivia (Plurinational State of)","","","","","",""
"Bonaire, Sint Eustatius and Saba","0.00","0.00","0.00","0.00","0.00","0.00"
"Bosnia and Herzegovina","","","","","",""
"Botswana","0.00","0.00","0.00","0.00","0.00","0.00"
"Brazil","968.98","994.62","1995.74","2706.44","2621.41","2509.14"
"British Virgin Islands","0.00","0.00","0.00","0.00","0.00","0.00"
"Brunei Darussalam","0.13","0.25","0.70","0.97","1.05","1.10"
"Bulgaria","125.90","145.44","141.09","146.23","143.65","140.44"
"Burkina Faso","0.26","0.29","0.23","0.18","0.14","0.09"
"Burundi","23.40","16.38","16.38","16.38","16.38","16.38"
"Cabo Verde","","","","","",""
"Cambodia","","","","","",""
"Cameroon","","","","","",""
"Canada","611.45","1233.26","1916.17","2237.79","2537.15","2582.31"
"Cayman Islands","0.00","0.00","0.00","0.00","0.00","0.00"
"Central African Republic","","","","","",""
"Colombia","16.60","29.43","70.79","42.38","54.32","54.20"
"Comoros","0.50","0.50","0.27","0.16","0.26","0.36"
"Congo","4.79","4.79","4.79","4.79","4.79","10.86"
"Cook Islands","0.10","0.22","0.23","0.24","0.24","0.24"
"Costa Rica","1.40","9.06","8.57","5.50","5.15","3.87"
"Côte d'Ivoire","11.58","20.87","52.53","72.86","115.02","122.85"
"Croatia","6.84","8.87","11.05","14.30","13.55","13.39"
"Cuba","35.08","34.12","49.24","60.16","58.20","57.85"
"Curaçao","0.00","0.00","0.00","0.00","0.00","0.00"
"Cyprus","","","","1.43","1.72","1.95"
"Czechia","843.50","846.20","852.82","854.94","824.35","826.39"
