"","Policies supporting SFM","Policies supporting SFM","Legislations and regulations supporting SFM","Legislations and regulations supporting SFM","Platform that promotes or allows for stakeholder participation in forest policy development","Platform that promotes or allows for stakeholder participation in forest policy development","Traceability system(s) for wood products","Traceability system(s) for wood products"
"","National","Sub-national","National","Sub-national","National","Sub-national","National","Sub-national"
"Afghanistan","yes","yes","yes","yes","yes","yes","no","no"
"Albania","yes","yes","yes","yes","","","",""
"Algeria","yes","yes","yes","yes","yes","yes","yes","yes"
"American Samoa","yes","yes","yes","yes","yes","yes","no","no"
"Andorra","yes","yes","yes","","no","no","no","no"
"Angola","yes","yes","yes","yes","yes","yes","yes","yes"
"Anguilla","","","","","","","",""
"Antigua and Barbuda","","","yes","no","","","",""
"Argentina","yes","yes","yes","yes","yes","yes","yes","no"
"Armenia","yes","no","yes","no","no","no","no","no"
"Aruba","","","","","","","",""
"Ascension, Saint Helena and Tristan da Cunha","yes","","yes","","","","",""
"Australia","yes","yes","yes","yes","yes","yes","yes","yes"
"Austria","yes","yes","yes","yes","yes","no","yes","no"
"Azerbaijan","yes","no","yes","no","no","no","no","no"
"Bahamas","no","yes","yes","yes","yes","yes","no","no"
"Bahrain","yes","no","yes","no","no","no","no","no"
"Bangladesh","yes","yes","yes","yes","yes","no","no","no"
"Barbados","no","no","no","no","no","no","no","no"
"Belarus","yes","yes","yes","yes","yes","yes","no","no"
"Belgium","yes","yes","yes","yes","yes","yes","yes","yes"
"Belize","yes","yes","yes","no","yes","yes","yes","yes"
"Benin","yes","yes","yes","no","yes","yes","no","no"
"Bermuda","","","","","","","",""
"Bhutan","yes","no","yes","no","yes","no","yes","no"
"Bolivia (Plurinational State of)","yes","no","yes","yes","yes","yes","yes","no"
"Bonaire, Sint Eustatius and Saba","yes","","yes","","","","",""
"Bosnia and Herzegovina","no","yes","no","yes","no","yes","no","yes"
"Botswana","yes","yes","yes","yes","yes","yes","no","no"
"Brazil","yes","yes","yes","yes","yes","yes","yes","yes"
"British Virgin Islands","yes","","yes","","","","",""
