,1990,2000,2010,2015,2020,2025
Afghanistan,1.8543151955598487,1.8543151955598487,1.8543151955598487,1.8543151955598487,1.8543151955598487,1.8543151955598487
Albania,28.788321167883208,28.076642335766422,28.542700729927006,29.0941605839416,34.34306569343066,34.34306569343066
Algeria,0.7200450091109861,0.717215145229958,0.7143810827378303,0.7129658514506825,0.711550920104243,0.7101359887578036
American Samoa,90.35,88.65,80.95000000000002,79.25,79.25,79.25
Andorra,37.638297872340424,36.78723404255319,38.46808510638298,38.91489361702127,38.638297872340424,38.76595744680851
Angola,62.19081575358947,60.971428571428575,56.88038822491377,54.83486805165637,52.78934787839897,50.74382770514158
Anguilla,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114
Antigua and Barbuda,22.977272727272727,21.477272727272727,19.954545454545453,19.204545454545453,18.454545454545453,17.704545454545453
Argentina,20.458882810986996,19.52805030894986,18.170655061406297,17.701683420482407,17.355122428919607,17.031158077823942
Armenia,11.75728837372673,11.683877766069546,11.671584123638919,11.738672286617492,11.732349841938882,11.847769810705193
Aruba,2.722222222222222,2.722222222222222,2.722222222222222,2.722222222222222,2.722222222222222,2.722222222222222
"Ascension, Saint Helena and Tristan da Cunha",5.179487179487179,5.179487179487179,5.179487179487179,5.179487179487179,5.179487179487179,5.179487179487179
Australia,17.51749476068365,17.300455592726138,17.074462075159786,17.248417791546803,17.328494985712467,17.36365610073817
Austria,45.75460494425594,46.51163354338342,46.79641299079011,46.96715947649055,47.137905962190985,47.30865244789142
Azerbaijan,11.352728408858766,11.951092548877188,12.491410181958962,13.039570303521531,14.050165767248263,14.684331518451302
Bahamas,50.935064935064936,50.935064935064936,50.935064935064936,50.935064935064936,50.935064935064936,50.935064935064936
Bahrain,1.985507246376812,1.9295774647887325,1.7979002624671916,1.7609254498714655,2.5095541401273884,5.4625
Bangladesh,15.25167089191058,14.75247752938465,14.50595375278482,14.46800338019513,14.430053007605439,14.413140483151254
Barbados,14.651162790697676,14.651162790697676,14.651162790697676,14.651162790697676,14.651162790697676,14.651162790697676
Belarus,38.338721122762756,40.784232528790035,42.53284837014913,42.53416626432421,43.56611488816632,44.21749604646695
Belgium,22.37120211360634,22.037648612945837,22.783025099075296,22.764200792602377,22.143989431968294,21.988587918934872
Belize,69.26041209995616,65.9329241560719,62.60543621218764,60.95440596229723,59.30337571240683,57.65234546251644
Benin,61.90244767648102,50.32165661582122,37.816778999645265,31.102252571833983,29.4446612273856,27.78706988293721
Bermuda,14.444444444444443,14.444444444444443,14.444444444444443,14.444444444444443,14.444444444444443,14.444444444444443
Bhutan,53.65066455493012,65.47738693467336,70.97331899152609,71.23278327255555,71.2417409543786,70.12952281069742
Bolivia (Plurinational State of),57.02412997322994,54.54257361764977,53.07832548693806,52.32823779193206,51.29610449552294,50.18948583033323
"Bonaire, Sint Eustatius and Saba",13.07453416149068,13.07453416149068,13.07453416149068,13.07453416149068,13.07453416149068,13.07453416149068
Bosnia and Herzegovina,43.1640625,41.24316406250001,41.067578125,42.197265625,42.126562500000006,42.228125
Botswana,27.7520159511584,27.7520159511584,27.7520159511584,27.7520159511584,27.756074321105288,27.756074321105288
Brazil,73.99292904880751,67.08674059060988,62.82347986513746,61.677470106985524,60.10510472425683,58.1572742260838
British Virgin Islands,66.66666666666666,66.60000000000001,66.53333333333333,66.46666666666667,66.46666666666667,66.46666666666667
Brunei Darussalam,78.36812144212524,75.33206831119544,72.10626185958255,72.10626185958255,72.10626185958255,72.10626185958255
Bulgaria,30.073217029738768,30.507095724487026,34.42336035372144,35.30766396462786,35.88798820928519,36.46831245394252
Burkina Faso,30.333004385964912,23.311293859649123,18.402302631578944,16.21187865497076,14.021454678362574,11.831030701754386
Burundi,10.766355140186915,7.5521806853582545,7.5521806853582545,10.889408099688474,10.889408099688474,10.889408099688474
Cabo Verde,8.312655086848634,9.404466501240694,10.496277915632755,11.131513647642679,11.900744416873449,12.669975186104217
Cambodia,62.34302062089282,61.07523226829821,59.98883979152504,50.11794697484704,44.622932245637884,35.87791751642873
Cameroon,47.59789299993653,45.68866747054219,44.2141693638806,43.62184002877028,41.733832582344355,40.496752765966455
Canada,40.24021731977482,40.18754147802878,40.75929191497715,41.04516713345134,41.14262753483039,41.965119983615324
Cayman Islands,54.708333333333336,53.87499999999999,53.0,53.0,53.0,53.0
Central African Republic,74.536758804456,73.97507143086455,73.4133840572731,73.13254037047739,72.75914154547498,72.38574272047256
Colombia,58.67760252365931,56.39507886435331,55.36885083370887,54.94705723298784,54.18952681388013,53.58887787291573
Comoros,25.34121440085975,22.98764105319721,20.042987641053198,18.570660934981195,17.662547017732404,17.931219774314883
Congo,65.1683748169839,64.81698389458272,64.46559297218155,64.16778916544655,63.78857979502196,63.99355783308931
Cook Islands,62.125,64.875,64.95833333333333,64.95833333333333,64.95833333333333,64.95833333333333
Costa Rica,54.02937720329024,55.798080689385046,56.41891891891891,57.86251468860164,58.20701135918528,58.5515080297689
Côte d'Ivoire,26.09150943396227,19.37930817610063,15.716383647798743,13.989056603773587,13.139119496855345,11.868333333333334
Croatia,33.088892863530674,33.713692946058096,34.30776928025159,34.34350653991852,34.660471765546816,34.77841315225161
Cuba,21.52700186219739,25.13035381750466,30.151728673431037,33.804034582132566,34.79219653179191,34.89768786127168
Curaçao,0.15765765765765768,0.15765765765765768,0.15765765765765768,0.15765765765765768,0.15765765765765768,0.15765765765765768
Cyprus,17.43614718614719,18.572510822510825,18.705627705627705,18.691558441558442,18.673160173160174,18.58225108225108
Czechia,36.74750873560244,37.08140287304258,37.291337563123136,37.468074083667915,37.86550256805508,38.466552542333346
Democratic People's Republic of Korea,61.91703346898099,61.91703346898099,62.76563408354787,63.23710655261191,63.70857902167594,64.18013454032058
Democratic Republic of the Congo,70.81457400586665,67.8371937098873,64.85981341390794,62.64438808142741,62.02047153790168,61.396550583357225
Denmark,13.286000000000001,14.29,14.658500000000002,15.6065,15.81775,16.063999999999997
